time,府中,萬隆,頂溪,明德,新店,關渡,忠孝新生,忠孝復興,東門,後山埤,龍山寺,中山國小,頂埔,辛亥,大湖公園,大橋頭站,菜寮,永安市場,新莊,松江南京,市政府,景美,台北101/世貿,芝山,頭前庄,動物園,南港軟體園區,台北車站,劍潭,新北投,橋和,小南門,十四張,六張犁,大安森林公園,東湖,內湖,昆陽,中山,台電大樓,三民高中,台北小巨蛋,永寧,港墘,大坪林,新北產業園區,小碧潭,南京三民,信義安和,七張,三重國小,丹鳳,台北橋,景平,紅樹林,行天宮,國父紀念館,幸福,北門,忠義,大直,板新,文德,中正紀念堂,北投,蘆洲,麟光,台大醫院,唭哩岸,中原,BL板橋,松山機場,迴龍,南京復興,景安,象山,圓山,竹圍,古亭,秀朗橋,南勢角,大安,劍南路,科技大樓,徐匯中學,永春,善導寺,Y板橋,萬芳醫院,民權西路,輔大,忠孝敦化,南港展覽館,江子翠,新埔,先嗇宮,新店區公所,雙連,新埔民生,西湖,西門,萬芳社區,南港,石牌,葫洲,公館,海山,亞東醫院,中和,淡水,土城,奇岩,中山國中,復興崗,木柵,三和國中,三重,松山,士林
0,0,0,0,1,0,0,5,6,0,2,6,0,0,0,0,0,0,3,1,0,10,0,4,3,0,1,0,6,7,3,4,0,1,0,0,1,0,0,6,1,0,0,1,0,0,0,0,0,3,0,0,0,1,0,1,0,7,0,0,0,0,0,0,0,1,0,1,0,1,0,6,0,0,0,7,3,8,1,1,0,2,3,9,0,0,4,1,0,0,0,1,3,2,2,2,0,0,5,0,0,15,0,1,0,0,3,1,0,0,0,0,0,2,0,0,1,1,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,29,37,79,27,44,13,25,21,31,13,29,17,8,2,0,12,6,66,7,5,20,33,29,63,1,3,0,20,49,1,0,5,0,6,20,5,7,17,9,40,38,4,9,4,41,1,2,20,28,46,34,8,13,0,15,19,20,0,0,0,4,0,3,27,40,49,3,6,23,0,23,0,11,14,46,18,40,15,46,4,62,19,3,16,30,21,11,0,16,39,9,20,14,34,37,2,46,32,0,5,36,5,0,75,2,68,29,22,0,74,5,19,11,4,3,25,3,4,36
7,45,61,123,47,68,34,43,44,39,33,38,25,17,11,1,19,6,108,11,19,59,73,42,80,2,6,2,35,99,3,0,7,3,26,30,14,19,26,22,81,62,16,22,14,76,0,14,25,60,100,53,19,24,1,42,24,26,0,0,11,9,0,7,45,64,55,9,4,24,1,54,1,22,23,71,34,55,32,66,2,81,34,7,27,34,59,30,0,30,41,14,38,29,66,59,5,66,35,0,18,68,10,10,91,11,110,45,37,1,158,14,45,15,9,13,42,9,2,52
8,81,77,208,95,67,35,49,56,84,58,58,27,37,25,5,32,24,147,24,21,96,95,70,111,6,9,0,57,103,22,0,6,1,35,30,24,25,30,23,57,87,24,61,32,94,0,16,71,85,106,60,32,32,2,54,33,52,0,2,9,17,1,6,86,132,91,18,17,44,0,73,8,34,56,99,36,124,59,103,3,129,44,9,30,81,62,32,0,25,85,30,48,71,117,129,1,72,58,0,9,107,13,23,135,23,105,87,75,6,177,29,40,26,20,10,63,6,7,99
9,110,85,204,99,57,47,71,68,66,48,79,52,36,21,5,24,25,174,20,41,121,107,69,119,6,14,0,66,139,6,0,11,1,47,42,18,33,43,45,69,125,23,40,24,123,1,13,56,94,97,51,37,44,5,74,54,54,0,3,15,25,2,11,63,86,79,32,38,61,2,82,23,28,45,95,62,159,49,116,7,124,65,6,56,75,71,52,0,38,68,19,53,67,91,119,5,67,96,0,17,131,10,23,157,13,146,90,53,3,216,24,47,25,14,4,70,11,11,106
