time,府中,萬隆,頂溪,明德,新店,關渡,忠孝新生,忠孝復興,東門,後山埤,龍山寺,中山國小,頂埔,辛亥,大湖公園,大橋頭站,菜寮,永安市場,新莊,松江南京,市政府,景美,台北101/世貿,芝山,頭前庄,動物園,南港軟體園區,台北車站,劍潭,新北投,橋和,小南門,十四張,六張犁,大安森林公園,東湖,內湖,昆陽,中山,台電大樓,三民高中,台北小巨蛋,永寧,港墘,大坪林,新北產業園區,小碧潭,南京三民,信義安和,七張,三重國小,丹鳳,台北橋,景平,紅樹林,行天宮,國父紀念館,幸福,北門,忠義,大直,板新,文德,中正紀念堂,北投,蘆洲,麟光,台大醫院,唭哩岸,中原,BL板橋,松山機場,迴龍,南京復興,景安,象山,圓山,竹圍,古亭,秀朗橋,南勢角,大安,劍南路,科技大樓,徐匯中學,永春,善導寺,Y板橋,萬芳醫院,民權西路,輔大,忠孝敦化,南港展覽館,江子翠,新埔,先嗇宮,新店區公所,雙連,新埔民生,西湖,西門,萬芳社區,南港,石牌,葫洲,公館,海山,亞東醫院,中和,淡水,土城,奇岩,中山國中,復興崗,木柵,三和國中,三重,松山,士林
0,0,1,0,0,0,1,0,3,0,1,1,1,0,0,0,1,0,0,0,2,10,1,2,1,0,0,0,2,3,0,0,0,0,0,0,1,0,2,5,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,3,0,1,0,1,1,1,1,0,0,0,0,0,2,1,5,1,0,0,0,1,1,0,0,15,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,3
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,42,25,65,39,31,13,16,31,30,11,18,20,18,1,1,10,5,67,3,3,27,34,26,74,0,1,0,15,64,4,0,8,1,13,16,10,7,21,21,35,39,10,12,2,21,0,3,24,34,62,24,19,15,0,14,16,12,3,0,8,1,0,2,21,52,32,4,2,26,0,47,1,8,16,42,20,35,12,43,1,63,18,3,17,32,32,8,0,11,29,5,23,30,36,59,3,40,27,0,2,48,1,12,70,5,44,56,24,1,62,13,16,9,8,3,21,4,6,60
7,64,36,111,50,50,30,30,33,42,23,42,20,22,6,1,18,3,92,4,8,52,71,31,88,1,6,3,39,58,6,1,2,0,19,15,11,17,25,15,53,32,11,33,17,62,0,8,23,45,58,39,16,27,7,25,18,26,2,1,4,8,0,5,34,58,51,21,4,31,0,50,4,10,11,62,19,84,32,74,3,75,32,5,10,32,33,14,0,23,37,7,21,41,51,51,3,48,31,0,6,55,7,14,77,7,81,40,32,0,97,21,31,10,8,10,33,2,3,79
8,118,54,141,32,69,31,31,55,48,52,81,29,56,13,6,27,10,103,28,23,70,68,63,93,3,15,4,62,99,16,0,7,3,25,39,25,20,36,26,66,53,21,59,23,75,0,20,49,67,87,48,34,33,4,54,27,36,4,3,4,16,0,5,34,73,78,13,10,44,3,81,0,25,29,84,31,104,48,56,8,124,44,12,30,64,60,31,0,14,52,29,46,66,91,90,7,66,52,0,13,102,11,34,102,15,82,76,81,1,188,41,36,27,13,14,64,2,18,81
9,113,50,167,69,85,34,61,48,61,38,95,39,27,11,6,28,20,120,19,21,66,51,47,99,8,5,4,68,105,22,1,4,3,31,40,20,12,30,37,64,58,20,49,18,71,0,11,35,78,90,48,27,24,3,45,35,30,1,0,7,17,0,6,66,84,72,14,19,37,0,73,8,29,37,77,49,108,56,75,4,93,52,7,40,71,69,36,0,27,78,17,39,52,88,94,10,63,61,0,16,193,10,24,120,14,91,84,63,4,166,21,42,32,9,9,43,12,11,85
10,91,58,166,38,55,47,52,49,50,40,101,38,47,10,7,20,10,110,12,24,123,80,68,86,3,12,1,87,100,19,0,10,1,29,26,11,14,29,53,48,59,14,41,27,75,0,14,28,52,65,39,20,33,6,50,41,31,2,13,11,10,0,7,61,92,81,21,22,31,2,89,7,30,38,79,47,135,25,110,4,79,49,6,24,59,40,54,0,22,82,17,52,57,68,113,6,60,76,0,7,228,8,17,106,8,85,55,51,4,173,16,36,13,15,15,49,6,11,107
11,109,49,155,51,63,27,127,69,53,70,134,41,27,13,1,31,11,122,15,38,110,79,79,90,5,18,2,91,117,12,0,18,3,29,58,13,15,36,101,61,83,31,54,40,47,0,5,37,69,59,48,20,37,3,34,62,43,6,13,11,8,7,15,80,51,69,20,34,47,0,94,17,36,61,72,49,315,34,71,9,100,39,15,33,38,45,90,0,25,77,20,80,66,85,123,15,64,70,0,9,413,11,32,103,15,84,83,56,3,160,26,31,25,18,5,44,11,10,104
12,136,42,159,44,59,35,172,121,67,58,139,45,27,10,8,31,16,79,23,71,157,84,138,90,9,38,5,101,146,34,1,18,4,24,74,29,23,46,107,50,61,50,49,35,62,1,5,43,71,59,41,26,52,6,62,65,60,2,10,11,8,3,13,135,88,39,26,65,34,1,126,12,46,67,77,36,710,23,70,4,75,59,26,31,37,68,103,0,22,101,34,80,71,82,126,12,41,82,0,6,437,13,25,102,11,112,73,69,7,197,23,32,23,17,10,56,12,19,111
