time,府中,萬隆,頂溪,明德,新店,關渡,忠孝新生,忠孝復興,東門,後山埤,龍山寺,中山國小,頂埔,辛亥,大湖公園,大橋頭站,菜寮,永安市場,新莊,松江南京,市政府,景美,台北101/世貿,芝山,頭前庄,動物園,南港軟體園區,台北車站,劍潭,新北投,橋和,小南門,十四張,六張犁,大安森林公園,東湖,內湖,昆陽,中山,台電大樓,三民高中,台北小巨蛋,永寧,港墘,大坪林,新北產業園區,小碧潭,南京三民,信義安和,七張,三重國小,丹鳳,台北橋,景平,紅樹林,行天宮,國父紀念館,幸福,北門,忠義,大直,板新,文德,中正紀念堂,北投,蘆洲,麟光,台大醫院,唭哩岸,中原,BL板橋,松山機場,迴龍,南京復興,景安,象山,圓山,竹圍,古亭,秀朗橋,南勢角,大安,劍南路,科技大樓,徐匯中學,永春,善導寺,Y板橋,萬芳醫院,民權西路,輔大,忠孝敦化,南港展覽館,江子翠,新埔,先嗇宮,新店區公所,雙連,新埔民生,西湖,西門,萬芳社區,南港,石牌,葫洲,公館,海山,亞東醫院,中和,淡水,土城,奇岩,中山國中,復興崗,木柵,三和國中,三重,松山,士林
0,7,0,0,0,1,0,4,7,2,0,2,1,0,0,0,0,0,0,0,1,7,1,6,2,0,0,0,7,5,0,0,0,0,0,1,1,2,0,4,1,0,2,0,0,0,0,0,1,6,1,1,2,2,0,0,2,3,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,3,2,1,2,2,0,0,0,1,1,5,0,0,2,0,0,0,0,0,11,1,1,0,0,0,1,0,1,17,0,2,2,0,3,0,1,0,10,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,30,25,85,33,26,10,24,18,32,26,30,19,13,3,0,3,5,68,3,8,25,33,31,79,1,3,0,13,57,3,0,7,0,23,20,10,8,14,14,33,32,7,8,5,57,1,4,19,47,29,26,17,3,4,18,17,13,1,0,4,4,0,4,37,54,53,7,5,33,0,26,1,18,10,55,28,43,14,40,3,54,22,2,14,37,19,10,0,10,49,10,22,28,39,42,1,36,22,0,3,37,3,2,55,3,58,32,22,0,70,8,17,9,2,0,33,2,2,45
7,41,55,144,44,52,43,35,51,52,27,46,35,24,7,3,24,10,110,16,15,66,70,48,104,1,17,1,16,82,14,1,8,3,24,31,13,10,27,18,64,61,13,16,15,75,0,9,22,58,77,28,17,24,5,35,29,34,0,1,4,6,1,11,37,89,43,14,12,50,1,37,1,20,23,77,31,76,35,68,8,100,43,5,19,65,37,14,0,20,46,4,32,52,75,63,4,72,40,0,10,83,9,12,113,6,97,54,41,2,123,13,31,20,16,1,50,3,3,57
8,90,95,190,71,71,63,52,68,67,63,69,48,25,11,4,36,19,140,23,28,98,81,58,132,6,10,1,41,138,22,0,5,2,38,46,22,23,51,32,66,89,32,73,37,126,1,12,60,84,117,63,33,35,2,58,46,36,2,0,9,18,2,13,59,95,98,37,11,49,1,63,3,35,26,98,47,107,61,93,4,133,57,11,36,68,63,23,0,29,73,18,51,82,103,159,8,80,58,0,9,80,13,20,143,23,94,77,61,1,173,32,38,32,21,17,80,7,13,99
9,90,84,196,91,60,42,79,82,67,56,90,60,41,18,6,38,21,160,23,26,113,112,94,136,3,24,1,62,143,13,2,8,1,49,44,28,24,46,50,68,112,41,60,21,106,0,8,50,103,104,83,23,43,4,90,49,49,1,4,17,19,0,14,73,114,112,14,29,56,0,89,18,16,43,124,54,130,50,95,4,131,62,16,39,70,85,50,0,30,88,29,55,63,97,118,6,92,95,0,8,140,8,18,153,18,130,74,83,1,238,23,65,32,26,14,67,9,18,139
10,86,80,218,78,68,37,89,85,83,42,94,44,35,12,5,41,11,132,17,21,149,87,62,134,5,11,2,64,152,24,1,11,3,48,47,26,22,38,60,85,102,43,61,17,85,0,9,37,61,88,48,28,48,4,53,55,34,0,8,17,20,2,15,106,97,78,17,34,51,2,66,19,20,34,93,44,104,43,122,5,117,60,15,32,95,75,68,0,32,73,16,75,62,76,125,2,88,90,0,22,162,9,20,176,13,146,75,51,4,186,22,55,23,16,12,81,2,15,93
11,119,60,201,86,57,24,78,99,68,55,138,48,47,14,4,31,11,125,28,45,145,80,56,99,3,20,3,66,133,20,0,10,4,49,60,21,24,53,71,74,76,28,62,23,87,3,18,31,82,79,55,32,29,6,63,71,49,3,15,13,24,2,7,70,104,88,18,66,50,4,117,9,28,48,93,66,167,42,129,10,122,70,18,38,62,80,83,0,39,96,25,85,83,97,129,7,63,137,0,23,224,17,30,139,8,132,76,75,8,206,35,48,21,20,12,65,8,12,106
12,165,52,175,84,57,43,173,129,87,66,164,47,28,16,8,49,23,132,22,44,168,65,106,101,9,21,8,102,179,28,2,14,5,49,100,41,28,52,122,75,75,50,70,33,94,0,11,34,95,73,70,40,50,5,62,89,75,7,9,19,18,3,9,115,96,73,19,59,37,1,138,14,31,82,103,59,162,59,133,4,110,73,22,39,61,82,126,0,40,127,40,107,82,110,152,12,67,120,0,14,346,10,53,176,21,139,94,86,5,221,31,38,33,9,11,60,10,20,149
13,138,60,172,65,43,37,176,211,107,81,126,41,25,10,8,39,20,121,25,59,209,80,142,108,4,36,4,107,172,26,1,13,1,41,45,23,36,49,171,122,88,37,69,12,84,0,15,58,96,71,59,38,61,10,60,82,101,2,6,20,9,1,5,112,88,70,13,32,41,8,143,37,52,61,92,46,141,50,136,8,114,103,47,43,82,68,109,0,49,94,22,118,89,98,170,7,77,112,0,24,281,13,48,151,11,119,100,106,5,205,27,36,41,8,12,55,12,23,167
14,101,49,158,42,40,33,200,252,90,44,115,55,13,8,9,27,16,92,9,51,284,72,119,61,3,36,7,79,146,13,1,7,0,19,49,28,13,42,141,65,48,65,31,15,75,0,5,33,89,71,41,20,22,7,37,50,104,0,8,11,20,1,7,81,90,64,20,39,44,1,90,20,19,55,72,46,141,34,95,3,92,62,20,47,44,59,105,0,24,91,20,185,55,74,117,6,45,76,0,26,368,2,50,112,20,121,62,46,3,144,25,23,38,6,9,43,6,13,136
15,66,41,121,33,45,34,282,254,97,41,94,61,19,8,5,32,12,94,13,59,292,56,271,101,6,45,5,82,167,22,0,7,3,21,65,10,22,41,247,51,33,75,35,11,47,0,11,39,105,63,45,12,37,7,40,90,131,0,11,9,20,1,7,80,48,33,20,53,28,0,87,18,18,95,55,39,127,33,92,5,64,57,38,52,50,60,105,0,16,80,17,182,37,70,98,4,45,101,0,30,446,4,55,107,1,151,36,30,3,198,15,33,27,16,10,21,9,20,165
16,65,34,114,34,46,36,378,264,125,68,134,54,21,15,9,29,20,73,22,70,395,48,221,109,2,56,6,89,167,25,1,24,2,21,65,10,25,31,277,85,52,62,35,18,49,4,18,25,67,52,32,16,29,3,39,83,167,3,17,8,20,2,10,109,54,46,10,54,19,1,108,22,10,77,53,37,188,18,130,8,42,70,53,36,25,70,131,2,26,101,8,230,46,64,101,3,37,92,0,24,489,8,50,85,14,175,46,45,1,216,17,36,26,2,15,31,15,23,180
