time,府中,萬隆,頂溪,明德,新店,關渡,忠孝新生,忠孝復興,東門,後山埤,龍山寺,中山國小,頂埔,辛亥,大湖公園,大橋頭站,菜寮,永安市場,新莊,松江南京,市政府,景美,台北101/世貿,芝山,頭前庄,動物園,南港軟體園區,台北車站,劍潭,新北投,橋和,小南門,十四張,六張犁,大安森林公園,東湖,內湖,昆陽,中山,台電大樓,三民高中,台北小巨蛋,永寧,港墘,大坪林,新北產業園區,小碧潭,南京三民,信義安和,七張,三重國小,丹鳳,台北橋,景平,紅樹林,行天宮,國父紀念館,幸福,北門,忠義,大直,板新,文德,中正紀念堂,北投,蘆洲,麟光,台大醫院,唭哩岸,中原,BL板橋,松山機場,迴龍,南京復興,景安,象山,圓山,竹圍,古亭,秀朗橋,南勢角,大安,劍南路,科技大樓,徐匯中學,永春,善導寺,Y板橋,萬芳醫院,民權西路,輔大,忠孝敦化,南港展覽館,江子翠,新埔,先嗇宮,新店區公所,雙連,新埔民生,西湖,西門,萬芳社區,南港,石牌,葫洲,公館,海山,亞東醫院,中和,淡水,土城,奇岩,中山國中,復興崗,木柵,三和國中,三重,松山,士林
0,1,1,3,0,0,1,6,6,0,0,0,1,0,0,0,0,0,0,0,1,10,0,3,1,0,0,0,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,1,0,0,2,0,3,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,1,4,1,1,2,0,3,1,0,0,0,1,0,0,1,0,4,6,0,1,1,1,0,2,0,0,5,0,2,1,0,0,0,0,0,9,0,0,1,0,0,0,0,2,4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,39,26,68,36,35,21,12,33,28,25,29,11,17,3,3,9,5,57,7,5,34,34,25,59,5,4,0,8,62,1,0,1,1,16,15,4,4,29,13,27,28,4,18,4,25,0,4,10,28,43,20,18,9,5,18,5,19,1,1,2,2,0,3,14,60,26,14,2,23,1,17,0,13,9,37,14,40,11,36,3,33,19,2,8,28,30,11,0,7,31,7,19,42,40,48,1,36,24,0,1,42,3,9,49,4,45,35,27,0,58,10,19,13,9,3,24,1,0,41
7,65,59,99,37,62,17,16,22,37,17,36,26,18,6,4,13,4,68,6,13,53,56,30,80,3,4,2,18,75,5,0,3,1,23,19,13,12,16,7,54,51,9,21,10,72,0,13,23,37,57,32,13,25,3,33,20,30,1,2,5,6,0,7,34,55,46,12,7,21,1,46,0,23,10,52,15,52,23,62,1,66,22,6,14,27,43,24,0,16,27,12,29,28,63,65,2,52,35,0,4,55,16,8,74,7,68,48,23,1,79,27,23,11,8,5,45,3,7,56
8,107,44,127,42,47,33,50,49,57,36,59,16,33,9,2,27,14,113,14,12,50,56,52,86,2,7,3,34,103,15,0,8,0,31,26,15,17,29,31,38,68,17,53,18,53,1,8,36,62,67,67,26,35,4,43,47,42,4,3,11,17,0,11,25,98,82,15,21,26,2,73,3,27,25,59,37,79,47,74,2,113,39,9,22,55,66,24,0,16,47,33,40,73,88,110,2,57,63,0,15,71,9,31,103,12,77,83,64,0,147,33,25,25,12,8,74,5,12,84
9,80,53,156,56,41,20,43,39,43,40,81,33,37,10,4,21,18,99,19,31,75,75,52,80,3,7,1,39,96,8,0,3,1,37,31,18,11,27,39,46,69,16,40,14,60,0,10,28,66,60,55,13,27,0,44,12,28,0,6,14,14,1,3,62,67,54,4,21,43,0,66,30,23,22,74,34,80,36,71,1,100,34,10,26,66,40,34,0,31,52,24,36,55,79,103,2,45,77,0,12,140,8,18,95,11,91,71,60,5,160,24,39,22,11,8,43,3,9,106
10,75,61,127,57,51,34,70,65,55,41,93,41,23,4,3,29,8,86,18,24,108,64,45,70,4,5,2,56,101,18,2,12,0,35,40,8,5,35,55,57,70,17,42,19,79,0,18,30,63,88,43,19,37,7,50,45,33,2,4,7,8,0,11,59,90,55,23,31,37,1,64,5,34,32,61,34,101,41,84,4,76,36,5,33,42,64,85,0,18,55,26,54,52,80,97,3,69,51,0,10,253,6,22,128,10,78,74,56,8,169,22,31,21,10,12,50,8,7,101
11,105,62,142,72,40,52,98,67,51,48,127,41,31,6,8,36,14,112,22,46,96,79,133,99,4,13,3,91,137,28,0,18,3,31,40,15,11,47,122,58,62,36,60,19,75,0,10,50,65,71,49,25,56,11,55,48,68,1,20,3,3,0,9,76,91,65,20,51,41,1,89,11,17,79,78,46,145,33,79,2,95,41,13,28,68,47,125,0,25,76,10,72,74,113,115,3,62,95,1,7,404,14,39,108,10,105,88,58,2,146,45,49,24,9,13,60,1,12,117
12,132,49,158,44,42,28,184,132,123,53,153,61,27,17,9,23,21,105,17,67,159,70,316,93,5,24,3,90,130,39,0,26,1,26,56,26,12,41,136,66,51,48,58,18,89,0,12,49,60,73,39,31,41,6,58,58,54,1,10,9,12,2,8,98,84,64,35,62,25,0,96,15,35,73,85,47,193,36,107,5,83,66,12,44,44,67,132,0,22,108,22,110,99,82,134,9,45,72,0,10,401,10,28,103,13,179,77,74,1,218,22,41,33,17,9,49,11,19,115
13,135,55,183,48,57,31,172,152,86,62,118,37,22,10,5,38,12,128,20,40,216,65,503,116,6,38,3,91,137,50,0,16,0,38,67,25,19,45,170,84,62,39,56,21,88,0,12,54,81,93,45,38,48,5,65,54,106,3,11,11,13,2,17,111,88,75,12,33,32,1,121,31,40,56,71,65,167,40,123,1,87,91,17,42,66,70,121,0,19,85,34,92,91,98,174,4,50,82,0,14,398,7,48,97,13,170,88,97,4,253,26,44,37,19,8,50,11,20,139
14,105,53,126,47,85,34,228,240,94,45,134,36,25,18,6,52,16,89,11,50,302,75,667,95,3,58,0,89,188,44,1,10,0,39,54,19,15,39,212,86,51,43,39,15,62,2,14,29,73,65,43,22,41,5,30,61,126,6,3,4,16,7,7,106,55,83,20,39,33,0,119,28,25,59,77,57,214,31,101,2,80,71,26,43,49,73,99,0,13,68,24,180,88,92,112,3,50,58,0,12,508,7,41,103,6,156,56,36,1,199,33,32,42,12,12,49,8,14,155
15,70,34,126,47,61,31,276,281,85,60,97,51,28,5,9,20,23,95,20,55,386,62,886,110,3,41,3,74,157,24,1,15,0,33,80,12,20,32,245,85,48,46,32,11,57,0,18,34,91,59,31,21,35,12,48,70,129,6,8,7,6,0,6,103,65,42,10,32,24,4,94,37,27,54,55,59,225,46,112,3,70,64,38,21,53,59,97,0,17,83,18,162,77,84,85,3,49,96,0,11,587,10,50,90,13,127,46,22,1,282,31,30,18,13,13,41,3,18,170
16,71,48,107,41,70,21,305,287,114,61,96,46,14,8,2,34,21,65,13,50,534,51,872,89,8,100,5,93,194,38,1,13,0,25,93,9,18,46,276,83,33,47,15,18,68,1,13,28,99,61,34,9,32,2,36,52,122,2,12,5,10,0,8,183,75,46,7,53,37,2,66,22,11,84,48,73,277,16,120,5,52,74,60,39,44,43,115,0,24,93,13,176,99,100,101,8,36,97,2,10,590,1,75,105,5,167,28,35,3,248,18,12,24,11,6,20,12,14,172
