time,府中,萬隆,頂溪,明德,新店,關渡,忠孝新生,忠孝復興,東門,後山埤,龍山寺,中山國小,頂埔,辛亥,大湖公園,大橋頭站,菜寮,永安市場,新莊,松江南京,市政府,景美,台北101/世貿,芝山,頭前庄,動物園,南港軟體園區,台北車站,劍潭,新北投,橋和,小南門,十四張,六張犁,大安森林公園,東湖,內湖,昆陽,中山,台電大樓,三民高中,台北小巨蛋,永寧,港墘,大坪林,新北產業園區,小碧潭,南京三民,信義安和,七張,三重國小,丹鳳,台北橋,景平,紅樹林,行天宮,國父紀念館,幸福,北門,忠義,大直,板新,文德,中正紀念堂,北投,蘆洲,麟光,台大醫院,唭哩岸,中原,BL板橋,松山機場,迴龍,南京復興,景安,象山,圓山,竹圍,古亭,秀朗橋,南勢角,大安,劍南路,科技大樓,徐匯中學,永春,善導寺,Y板橋,萬芳醫院,民權西路,輔大,忠孝敦化,南港展覽館,江子翠,新埔,先嗇宮,新店區公所,雙連,新埔民生,西湖,西門,萬芳社區,南港,石牌,葫洲,公館,海山,亞東醫院,中和,淡水,土城,奇岩,中山國中,復興崗,木柵,三和國中,三重,松山,士林
0,0,1,0,2,0,0,2,2,0,4,1,2,0,0,0,0,0,1,0,0,3,3,6,2,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,2,0,0,0,1,0,0,0,1,0,2,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,2,1,1,2,0,0,1,0,0,9,0,0,2,0,1,1,3,0,0,0,0,2,1,2,0,0,4,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,48,45,71,48,29,11,33,31,29,26,35,18,9,9,2,10,8,62,3,5,35,42,23,72,1,1,0,6,79,3,0,4,0,11,16,3,4,21,19,30,24,12,22,3,28,1,1,10,26,42,24,6,12,0,23,13,22,0,0,3,4,0,1,33,63,26,5,5,32,2,21,0,14,19,42,28,38,12,52,7,53,21,3,10,27,36,16,0,11,35,3,25,32,39,37,3,28,31,0,3,30,5,9,73,5,63,27,30,1,72,8,13,6,5,5,19,4,2,46
7,110,99,226,100,75,39,56,66,78,59,59,28,38,13,7,35,13,160,14,21,107,117,61,158,2,16,1,14,146,12,0,5,3,34,53,24,19,63,46,70,85,26,72,25,99,0,20,39,87,102,62,12,49,1,77,28,38,0,1,14,13,0,11,63,144,82,21,9,53,3,96,1,32,19,106,50,124,44,124,2,127,54,12,24,57,85,23,0,27,74,11,40,75,134,137,8,83,64,0,11,65,15,27,149,14,92,116,121,2,235,32,42,26,22,9,59,6,4,100
8,270,105,238,119,92,55,88,103,92,153,108,45,102,26,9,36,30,196,43,35,140,143,64,208,6,27,6,47,189,21,2,17,5,45,43,79,46,97,48,79,131,38,121,37,128,0,29,71,101,125,98,43,51,7,131,51,89,2,4,17,14,5,27,89,170,141,36,23,97,3,208,4,54,31,178,67,163,83,131,7,189,71,17,59,91,140,29,0,44,106,30,64,175,241,333,12,113,64,0,20,118,25,44,227,39,138,240,206,5,305,80,79,47,36,17,92,8,8,148
9,118,40,144,61,52,33,57,52,68,52,70,28,35,10,6,23,7,100,16,33,98,59,42,107,6,7,2,37,98,19,0,6,0,38,40,31,31,42,32,53,69,21,64,13,65,0,8,36,78,75,44,21,21,3,49,31,28,2,0,17,8,0,11,48,86,76,11,79,42,0,96,17,24,25,93,40,99,41,67,6,87,47,8,31,50,59,34,0,26,48,24,43,75,112,152,4,62,65,0,14,83,17,18,140,24,64,106,101,2,175,41,43,23,21,5,36,8,7,94
10,99,30,99,41,33,45,43,64,38,38,68,24,15,6,3,15,14,84,13,27,109,51,49,84,5,7,0,44,88,19,0,20,2,22,26,8,16,40,50,27,35,24,49,20,56,0,10,32,57,46,27,14,17,7,34,42,43,2,3,11,11,0,10,61,71,61,9,144,30,0,72,19,28,33,53,17,74,33,52,4,49,32,5,13,39,50,62,0,14,48,12,53,34,62,83,2,48,94,0,9,107,4,27,124,13,62,55,53,2,131,13,33,14,19,7,39,7,13,94
11,80,38,81,53,48,24,90,79,44,36,74,17,18,4,1,28,7,59,22,24,90,48,56,71,6,11,3,42,85,14,1,22,2,23,23,7,15,34,48,47,38,25,42,25,60,0,10,31,53,44,31,18,16,8,25,38,51,0,3,12,18,0,6,72,56,40,10,155,21,1,60,25,14,49,45,23,89,28,68,2,67,39,7,20,34,33,95,0,20,53,16,66,42,62,79,13,50,94,0,12,122,7,25,129,11,57,53,60,1,110,14,28,22,7,8,31,5,8,86
12,79,49,88,57,23,32,114,99,80,49,72,44,18,11,4,25,9,62,17,52,131,55,78,85,6,22,1,67,108,24,1,27,3,27,63,19,21,47,76,46,45,45,45,58,38,0,3,28,68,45,31,17,18,7,43,75,75,1,3,19,33,5,8,130,64,58,14,121,29,0,109,26,17,48,70,42,116,36,87,3,52,85,16,25,44,50,111,0,22,69,16,80,51,72,102,5,31,103,0,11,190,5,18,155,15,86,38,51,6,148,19,28,38,8,11,34,6,15,92
13,103,34,92,44,35,38,114,126,67,47,98,27,16,4,6,31,18,68,20,41,164,41,81,104,12,16,8,67,99,13,0,15,0,33,27,15,17,42,117,53,56,30,53,31,56,1,9,59,57,46,43,26,29,4,37,66,65,3,10,14,12,2,11,78,59,57,15,117,22,1,91,10,24,42,55,35,97,28,62,1,86,50,13,25,56,57,100,0,30,59,17,117,69,75,111,6,35,78,0,17,193,8,22,157,26,91,42,71,5,133,26,25,20,12,7,28,9,20,97
14,68,26,80,48,32,23,105,156,57,37,81,33,10,2,5,21,11,65,9,62,146,44,94,42,5,35,6,62,96,11,0,13,1,16,33,11,13,30,108,49,37,35,16,37,47,0,8,31,58,28,20,14,14,7,29,55,56,1,8,11,11,2,9,79,49,25,16,146,12,0,54,11,9,69,51,23,75,22,64,2,59,39,15,30,21,53,73,0,18,54,12,104,49,68,55,2,18,65,0,20,235,4,28,112,4,108,28,38,1,110,19,32,21,10,11,21,6,9,112
15,50,22,62,49,19,25,148,150,77,20,55,25,9,1,1,23,7,60,12,69,228,46,120,67,3,43,4,62,111,19,1,29,0,13,65,10,9,24,165,58,25,23,18,26,52,1,12,29,54,41,14,7,20,3,23,49,75,3,5,8,16,0,6,157,35,27,7,130,9,3,54,17,8,59,35,37,57,30,100,1,52,95,5,33,21,48,85,0,12,61,8,123,27,34,69,4,25,93,0,9,288,1,28,145,6,86,22,25,0,143,8,25,32,4,1,23,2,9,106
16,47,28,62,70,18,28,192,196,103,37,74,23,8,4,2,32,16,36,11,90,309,42,137,71,6,62,7,75,157,21,2,34,2,21,59,11,8,33,148,95,28,41,26,40,42,1,7,36,63,34,15,16,18,3,28,77,120,0,3,17,12,0,4,183,38,20,7,136,21,1,65,38,20,72,38,40,83,16,120,2,48,105,26,44,17,53,132,0,18,88,19,145,42,42,52,4,23,132,1,23,334,4,39,155,7,121,30,36,1,138,8,16,18,7,4,21,9,16,129
17,80,49,90,59,41,56,300,295,201,54,115,59,27,9,8,32,16,90,24,227,456,100,256,139,10,56,15,90,163,15,2,53,2,49,95,26,20,82,243,166,44,98,40,46,97,0,13,83,183,55,42,13,23,1,52,135,148,4,8,22,23,4,12,445,72,64,21,229,26,2,97,19,27,179,51,110,142,33,201,2,39,242,34,101,52,76,231,0,29,166,28,241,81,97,120,17,54,202,0,34,427,7,52,179,18,243,49,64,4,132,20,27,58,11,8,34,11,13,221
