time,府中,萬隆,頂溪,明德,新店,關渡,忠孝新生,忠孝復興,東門,後山埤,龍山寺,中山國小,頂埔,辛亥,大湖公園,大橋頭站,菜寮,永安市場,新莊,松江南京,市政府,景美,台北101/世貿,芝山,頭前庄,動物園,南港軟體園區,台北車站,劍潭,新北投,橋和,小南門,十四張,六張犁,大安森林公園,東湖,內湖,昆陽,中山,台電大樓,三民高中,台北小巨蛋,永寧,港墘,大坪林,新北產業園區,小碧潭,南京三民,信義安和,七張,三重國小,丹鳳,台北橋,景平,紅樹林,行天宮,國父紀念館,幸福,北門,忠義,大直,板新,文德,中正紀念堂,北投,蘆洲,麟光,台大醫院,唭哩岸,中原,BL板橋,松山機場,迴龍,南京復興,景安,象山,圓山,竹圍,古亭,秀朗橋,南勢角,大安,劍南路,科技大樓,徐匯中學,永春,善導寺,Y板橋,萬芳醫院,民權西路,輔大,忠孝敦化,南港展覽館,江子翠,新埔,先嗇宮,新店區公所,雙連,新埔民生,西湖,西門,萬芳社區,南港,石牌,葫洲,公館,海山,亞東醫院,中和,淡水,土城,奇岩,中山國中,復興崗,木柵,三和國中,三重,松山,士林
0,3,0,1,1,0,0,3,4,0,4,3,4,0,0,0,0,1,1,0,2,15,1,8,1,0,0,0,4,4,0,0,0,0,0,2,0,0,6,11,0,0,2,0,0,0,0,0,0,8,1,0,0,0,0,2,2,0,0,2,0,0,0,2,3,1,0,0,0,2,0,1,0,0,2,1,0,4,1,1,0,2,4,0,1,0,0,2,0,1,3,1,12,0,2,4,0,0,12,0,0,32,0,1,1,0,0,1,0,0,4,0,0,1,0,0,0,0,3,4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,38,46,81,40,19,14,16,29,23,14,31,11,14,2,2,11,4,78,1,7,36,44,31,58,1,2,0,9,47,3,0,2,0,17,21,4,4,19,4,31,41,16,13,7,25,0,0,17,31,39,29,11,12,4,11,11,17,0,3,2,7,0,2,32,60,31,8,5,23,0,13,0,7,11,49,17,37,18,28,2,55,16,1,10,31,15,22,0,8,27,9,15,18,30,44,3,38,36,1,1,54,6,5,57,1,44,15,22,0,75,9,14,10,8,6,24,0,2,40
7,56,60,136,55,51,22,37,38,43,45,46,14,18,10,0,17,11,107,18,20,63,87,40,76,2,9,1,15,106,11,0,8,1,14,17,23,14,23,15,58,52,14,16,12,91,1,12,34,57,81,32,22,31,6,35,23,29,1,0,6,8,0,8,38,59,48,17,14,36,0,36,0,18,31,90,41,76,25,70,4,86,40,8,15,33,42,15,0,25,44,5,31,38,55,74,3,66,48,0,5,80,6,15,93,8,87,38,45,1,139,14,35,22,6,6,34,1,1,76
8,95,100,196,72,69,48,57,67,67,63,67,47,35,18,6,21,9,151,10,26,88,80,56,141,9,13,0,46,113,13,0,21,2,27,33,21,25,43,37,68,86,24,61,26,104,1,11,55,88,94,54,23,42,4,67,42,35,0,5,6,17,1,7,73,93,84,29,11,43,0,73,1,37,30,99,46,99,50,124,4,161,52,15,37,74,66,44,0,25,77,22,45,67,98,139,2,67,69,0,20,84,9,16,136,18,128,90,72,1,188,30,34,26,13,11,60,6,5,116
9,107,65,217,101,80,47,62,54,74,54,85,33,36,15,16,43,26,165,21,36,109,116,78,99,3,9,1,52,122,18,1,14,2,53,60,16,18,42,51,82,110,32,50,10,113,0,11,39,100,110,79,28,43,4,78,49,51,1,12,15,24,1,7,92,94,78,22,51,53,2,96,47,23,40,109,62,102,56,96,3,130,48,12,55,66,82,58,0,37,96,19,56,67,90,137,4,117,78,0,24,135,16,18,160,16,138,87,81,3,209,29,41,38,18,16,77,7,8,115
