time,府中,萬隆,頂溪,明德,新店,關渡,忠孝新生,忠孝復興,東門,後山埤,龍山寺,中山國小,頂埔,辛亥,大湖公園,大橋頭站,菜寮,永安市場,新莊,松江南京,市政府,景美,台北101/世貿,芝山,頭前庄,動物園,南港軟體園區,台北車站,劍潭,新北投,橋和,小南門,十四張,六張犁,大安森林公園,東湖,內湖,昆陽,中山,台電大樓,三民高中,台北小巨蛋,永寧,港墘,大坪林,新北產業園區,小碧潭,南京三民,信義安和,七張,三重國小,丹鳳,台北橋,景平,紅樹林,行天宮,國父紀念館,幸福,北門,忠義,大直,板新,文德,中正紀念堂,北投,蘆洲,麟光,台大醫院,唭哩岸,中原,BL板橋,松山機場,迴龍,南京復興,景安,象山,圓山,竹圍,古亭,秀朗橋,南勢角,大安,劍南路,科技大樓,徐匯中學,永春,善導寺,Y板橋,萬芳醫院,民權西路,輔大,忠孝敦化,南港展覽館,江子翠,新埔,先嗇宮,新店區公所,雙連,新埔民生,西湖,西門,萬芳社區,南港,石牌,葫洲,公館,海山,亞東醫院,中和,淡水,土城,奇岩,中山國中,復興崗,木柵,三和國中,三重,松山,士林
0,0,0,1,0,0,3,2,10,0,3,2,4,0,0,0,1,1,3,0,6,15,0,5,3,0,0,0,9,4,1,0,0,0,1,0,0,0,0,3,3,0,0,0,0,1,0,0,1,2,1,0,0,2,0,2,2,5,0,1,0,0,0,1,1,3,0,0,0,0,1,6,0,0,4,1,1,3,1,1,0,2,1,1,2,0,0,1,0,0,2,1,7,3,2,3,1,0,3,0,2,13,0,3,4,0,3,1,0,0,2,0,0,1,0,0,2,0,0,2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,56,41,89,43,37,8,38,23,28,28,39,23,16,5,1,14,5,83,3,10,31,49,28,70,2,2,0,10,57,4,1,5,2,19,19,9,8,31,12,36,41,9,25,4,42,1,5,18,48,56,25,29,13,1,21,17,28,1,1,5,1,0,6,34,61,41,8,11,32,1,28,0,11,13,39,22,52,15,50,4,70,21,7,10,25,34,9,0,11,43,6,35,35,58,53,1,19,42,0,6,44,1,3,89,8,57,50,44,0,73,10,17,16,6,4,27,5,6,44
7,126,119,223,107,82,31,55,72,81,75,66,41,39,16,12,28,19,155,17,21,110,124,52,196,4,14,0,24,148,11,0,11,3,45,43,17,26,62,33,77,82,35,76,28,96,0,13,55,72,78,66,19,39,7,84,33,48,1,0,21,3,1,16,57,133,85,23,12,65,1,109,2,29,21,115,57,129,47,130,4,145,67,15,34,80,88,28,0,35,81,12,35,108,148,176,7,83,58,0,11,86,18,25,187,14,137,124,112,1,230,37,63,31,36,16,86,6,7,137
8,256,109,252,128,111,49,84,80,86,147,88,41,98,22,14,31,25,197,32,24,135,127,83,209,3,19,6,39,203,23,1,12,3,49,57,66,38,95,40,86,136,45,130,55,128,1,19,85,102,128,96,42,64,9,127,55,87,3,6,20,16,1,24,95,170,134,41,24,79,3,183,4,70,37,187,71,163,94,122,5,160,71,14,51,115,153,48,0,43,100,26,78,160,222,319,3,104,75,0,17,120,22,61,235,41,137,237,223,2,294,77,80,36,29,12,110,13,13,149
9,121,65,159,66,67,35,53,58,51,66,86,28,41,15,9,20,11,128,15,25,118,76,54,109,5,9,1,47,121,19,1,5,2,40,42,36,25,48,44,63,86,21,68,18,77,0,8,43,75,59,47,20,37,3,71,30,51,1,0,7,17,2,5,60,109,80,15,61,52,1,103,12,31,24,116,48,87,43,90,8,102,45,11,32,47,73,43,0,25,39,25,42,80,132,153,6,72,77,1,18,107,10,22,154,18,98,116,81,4,168,26,48,29,20,12,50,2,6,89
10,82,52,100,57,52,14,74,49,43,47,76,18,27,9,6,23,11,85,13,33,88,59,57,77,2,10,4,61,102,11,0,19,2,24,31,15,16,31,44,39,49,30,44,27,58,0,9,33,40,59,43,20,27,3,41,45,52,1,6,9,12,1,8,69,80,57,15,109,37,0,83,14,25,44,62,24,80,33,72,1,63,45,6,16,47,56,80,0,19,56,12,43,53,91,108,5,43,80,0,12,120,6,17,138,8,72,48,58,7,138,25,36,20,11,6,57,11,11,97
