time,府中,萬隆,頂溪,明德,新店,關渡,忠孝新生,忠孝復興,東門,後山埤,龍山寺,中山國小,頂埔,辛亥,大湖公園,大橋頭站,菜寮,永安市場,新莊,松江南京,市政府,景美,台北101/世貿,芝山,頭前庄,動物園,南港軟體園區,台北車站,劍潭,新北投,橋和,小南門,十四張,六張犁,大安森林公園,東湖,內湖,昆陽,中山,台電大樓,三民高中,台北小巨蛋,永寧,港墘,大坪林,新北產業園區,小碧潭,南京三民,信義安和,七張,三重國小,丹鳳,台北橋,景平,紅樹林,行天宮,國父紀念館,幸福,北門,忠義,大直,板新,文德,中正紀念堂,北投,蘆洲,麟光,台大醫院,唭哩岸,中原,BL板橋,松山機場,迴龍,南京復興,景安,象山,圓山,竹圍,古亭,秀朗橋,南勢角,大安,劍南路,科技大樓,徐匯中學,永春,善導寺,Y板橋,萬芳醫院,民權西路,輔大,忠孝敦化,南港展覽館,江子翠,新埔,先嗇宮,新店區公所,雙連,新埔民生,西湖,西門,萬芳社區,南港,石牌,葫洲,公館,海山,亞東醫院,中和,淡水,土城,奇岩,中山國中,復興崗,木柵,三和國中,三重,松山,士林
0,3,2,2,2,0,1,2,7,4,0,2,2,0,0,0,4,0,0,2,1,12,1,9,1,0,0,0,8,8,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,5,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,1,0,3,0,1,2,0,0,4,2,2,0,2,0,1,1,0,2,2,0,1,0,0,10,0,0,3,0,0,2,0,1,24,0,3,1,0,2,1,2,1,4,0,0,1,0,0,1,0,1,6
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,37,45,60,39,42,21,30,32,26,28,32,22,12,5,0,9,4,65,5,7,40,49,25,71,0,3,0,7,58,5,0,4,2,11,16,6,5,16,9,36,35,15,22,1,30,0,3,13,33,29,20,8,9,1,16,11,20,0,3,10,1,0,3,39,46,34,20,1,31,1,31,0,5,11,33,20,45,15,50,2,71,45,6,13,24,26,6,0,16,35,5,30,41,54,37,4,23,36,0,6,32,7,6,80,6,40,36,27,1,67,7,16,10,10,3,24,6,4,44
7,121,105,235,85,88,41,55,52,74,67,56,39,34,14,5,33,16,156,21,22,105,118,63,167,3,6,1,20,144,16,0,7,1,30,38,32,22,61,33,66,94,28,85,27,92,1,18,55,73,69,61,14,47,4,90,32,40,0,0,17,9,0,11,94,135,89,26,9,65,2,87,1,37,23,103,47,136,49,107,1,148,56,14,41,76,88,27,0,20,97,15,35,91,144,159,5,88,68,0,8,71,17,18,153,17,138,100,115,2,242,43,58,27,26,16,75,12,2,134
8,236,94,251,113,106,51,79,84,85,147,108,42,95,26,9,39,26,211,36,33,131,144,72,178,8,24,3,35,180,27,0,11,2,51,47,78,43,88,36,73,146,41,120,45,123,0,19,82,121,153,103,40,58,8,111,57,84,3,2,18,15,4,32,93,164,123,43,25,98,2,195,1,67,39,184,70,165,84,146,10,162,50,11,52,91,142,50,0,41,115,30,62,158,242,318,3,102,77,0,23,110,26,56,233,40,142,230,206,4,276,69,81,44,51,19,123,8,15,153
9,131,49,159,91,50,34,44,45,56,52,80,21,41,21,6,25,8,109,24,33,105,66,51,90,7,12,3,40,100,17,1,12,1,30,35,27,26,45,39,68,80,12,74,26,68,0,9,44,74,89,39,14,33,2,68,34,37,3,4,8,14,1,8,56,90,69,17,66,19,1,90,29,29,24,91,43,86,28,84,5,98,48,5,26,37,69,42,0,22,59,17,54,67,114,139,6,72,59,0,15,120,11,26,116,27,93,114,104,1,172,36,49,25,13,8,52,6,12,108
