time,府中,萬隆,頂溪,明德,新店,關渡,忠孝新生,忠孝復興,東門,後山埤,龍山寺,中山國小,頂埔,辛亥,大湖公園,大橋頭站,菜寮,永安市場,新莊,松江南京,市政府,景美,台北101/世貿,芝山,頭前庄,動物園,南港軟體園區,台北車站,劍潭,新北投,橋和,小南門,十四張,六張犁,大安森林公園,東湖,內湖,昆陽,中山,台電大樓,三民高中,台北小巨蛋,永寧,港墘,大坪林,新北產業園區,小碧潭,南京三民,信義安和,七張,三重國小,丹鳳,台北橋,景平,紅樹林,行天宮,國父紀念館,幸福,北門,忠義,大直,板新,文德,中正紀念堂,北投,蘆洲,麟光,台大醫院,唭哩岸,中原,BL板橋,松山機場,迴龍,南京復興,景安,象山,圓山,竹圍,古亭,秀朗橋,南勢角,大安,劍南路,科技大樓,徐匯中學,永春,善導寺,Y板橋,萬芳醫院,民權西路,輔大,忠孝敦化,南港展覽館,江子翠,新埔,先嗇宮,新店區公所,雙連,新埔民生,西湖,西門,萬芳社區,南港,石牌,葫洲,公館,海山,亞東醫院,中和,淡水,土城,奇岩,中山國中,復興崗,木柵,三和國中,三重,松山,士林
0,1,0,1,1,0,0,2,2,0,0,7,1,1,0,0,0,0,0,1,0,9,2,1,3,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,1,1,0,0,1,0,0,1,2,0,0,0,0,1,0,1,2,0,1,0,0,2,0,0,1,0,1,1,2,1,0,0,2,1,0,7,0,0,1,1,1,0,0,0,2,0,0,2,2,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,59,52,86,40,34,12,32,30,32,30,35,20,12,11,1,18,6,71,10,10,28,38,23,81,1,4,0,4,49,5,0,3,0,13,28,4,11,21,25,36,32,18,19,3,25,1,6,11,48,35,31,9,25,0,25,23,34,0,0,1,1,0,3,39,63,39,14,7,34,1,28,1,7,21,40,23,66,15,49,1,68,29,2,13,23,32,6,0,10,45,5,35,23,38,41,4,41,44,0,5,50,5,4,77,4,64,34,29,1,106,9,21,17,6,1,24,2,2,53
7,112,97,226,86,86,36,59,63,85,56,52,37,42,13,7,30,18,168,15,20,113,109,61,159,2,10,1,23,162,20,0,6,2,38,34,18,24,50,32,84,103,23,67,24,100,1,13,38,74,75,68,16,48,4,87,29,47,3,2,13,10,2,11,77,114,84,21,15,53,2,96,2,25,23,96,45,135,51,114,1,132,54,18,34,69,81,23,0,29,83,13,44,98,140,128,4,81,58,0,13,90,15,20,149,15,102,113,115,2,233,34,57,29,23,9,76,5,4,125
8,233,95,239,112,99,50,86,74,71,132,108,46,91,27,12,45,19,225,35,28,128,101,77,181,4,24,3,52,162,19,0,7,4,57,68,70,44,101,38,81,136,21,122,49,117,0,19,65,107,124,89,42,45,7,130,53,70,3,1,17,15,5,28,90,170,136,44,29,73,2,184,4,61,39,159,61,146,83,108,7,181,57,20,52,99,143,39,0,37,94,27,63,177,235,334,2,108,60,0,19,132,25,41,220,40,114,218,207,3,285,86,69,35,31,19,108,7,14,147
9,123,51,155,85,41,27,54,64,56,77,81,31,39,11,4,20,7,128,17,30,98,68,53,118,5,8,6,50,102,26,0,10,2,40,33,32,26,42,43,49,62,26,81,25,75,0,10,26,71,72,45,24,34,5,51,35,44,1,1,9,11,1,11,53,71,50,14,63,40,0,89,20,29,29,86,35,90,45,70,7,106,47,7,31,57,71,37,0,39,39,23,53,73,102,129,6,56,74,0,16,100,7,25,135,26,103,118,73,2,184,26,44,27,9,6,48,3,10,106
