time,府中,萬隆,頂溪,明德,新店,關渡,忠孝新生,忠孝復興,東門,後山埤,龍山寺,中山國小,頂埔,辛亥,大湖公園,大橋頭站,菜寮,永安市場,新莊,松江南京,市政府,景美,台北101/世貿,芝山,頭前庄,動物園,南港軟體園區,台北車站,劍潭,新北投,橋和,小南門,十四張,六張犁,大安森林公園,東湖,內湖,昆陽,中山,台電大樓,三民高中,台北小巨蛋,永寧,港墘,大坪林,新北產業園區,小碧潭,南京三民,信義安和,七張,三重國小,丹鳳,台北橋,景平,紅樹林,行天宮,國父紀念館,幸福,北門,忠義,大直,板新,文德,中正紀念堂,北投,蘆洲,麟光,台大醫院,唭哩岸,中原,BL板橋,松山機場,迴龍,南京復興,景安,象山,圓山,竹圍,古亭,秀朗橋,南勢角,大安,劍南路,科技大樓,徐匯中學,永春,善導寺,Y板橋,萬芳醫院,民權西路,輔大,忠孝敦化,南港展覽館,江子翠,新埔,先嗇宮,新店區公所,雙連,新埔民生,西湖,西門,萬芳社區,南港,石牌,葫洲,公館,海山,亞東醫院,中和,淡水,土城,奇岩,中山國中,復興崗,木柵,三和國中,三重,松山,士林
0,0,0,2,0,0,1,0,11,2,4,2,1,0,0,0,0,0,1,0,0,6,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,6,3,1,0,0,3,2,0,0,0,0,0,0,0,2,1,1,1,1,1,0,3,3,0,0,5,0,1,2,1,5,2,0,0,2,0,0,1,1,0,0,0,2,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,34,29,81,35,41,12,26,25,25,26,34,20,10,6,3,9,4,46,0,8,40,48,24,71,2,1,0,7,56,6,0,1,0,18,26,5,6,17,11,32,27,9,21,3,28,1,0,13,44,32,25,10,22,5,21,10,23,0,0,4,3,0,0,32,59,38,5,0,21,1,23,1,4,8,37,24,42,17,48,2,65,21,5,15,23,23,20,0,16,32,3,27,27,55,45,3,28,46,0,6,45,6,4,69,4,57,28,31,0,79,11,18,7,5,3,27,2,3,55
7,127,116,213,97,83,30,52,56,72,63,67,37,40,11,7,33,18,183,15,25,100,134,62,155,2,8,3,11,127,19,0,6,3,33,32,21,19,64,28,81,81,28,67,20,92,0,20,45,84,94,64,18,31,5,94,35,50,0,0,16,7,0,15,66,140,62,26,17,59,3,81,0,28,16,103,46,146,48,101,4,128,60,7,40,78,86,32,1,30,63,14,36,83,137,149,6,89,77,0,8,71,11,18,148,17,100,107,128,1,203,34,50,38,23,8,70,9,7,132
8,265,97,259,119,100,49,77,79,78,125,115,48,85,26,12,45,22,205,39,23,131,125,63,216,7,27,5,44,184,22,1,12,4,50,51,67,47,82,27,76,143,30,119,48,117,0,15,88,108,126,100,41,65,6,117,51,78,3,1,17,20,4,35,93,186,124,29,20,80,2,209,2,61,46,170,67,183,69,118,9,176,65,15,43,96,150,41,0,35,96,26,61,179,247,341,5,109,71,0,19,116,31,59,223,43,146,237,209,1,271,69,73,51,34,22,129,7,16,154
9,130,41,130,79,54,23,56,67,47,61,68,30,42,16,4,28,13,103,15,29,101,63,42,106,5,10,5,38,119,14,1,6,1,47,23,30,33,51,32,63,73,13,73,28,70,1,11,34,62,62,45,26,35,2,59,31,46,0,2,8,14,0,12,48,73,68,19,62,41,1,85,23,36,29,78,40,84,32,69,3,99,29,11,24,54,66,42,0,28,51,14,53,80,108,141,6,56,59,1,11,85,11,23,158,21,99,100,102,1,182,32,47,27,11,9,57,1,3,74
