time,府中,萬隆,頂溪,明德,新店,關渡,忠孝新生,忠孝復興,東門,後山埤,龍山寺,中山國小,頂埔,辛亥,大湖公園,大橋頭站,菜寮,永安市場,新莊,松江南京,市政府,景美,台北101/世貿,芝山,頭前庄,動物園,南港軟體園區,台北車站,劍潭,新北投,橋和,小南門,十四張,六張犁,大安森林公園,東湖,內湖,昆陽,中山,台電大樓,三民高中,台北小巨蛋,永寧,港墘,大坪林,新北產業園區,小碧潭,南京三民,信義安和,七張,三重國小,丹鳳,台北橋,景平,紅樹林,行天宮,國父紀念館,幸福,北門,忠義,大直,板新,文德,中正紀念堂,北投,蘆洲,麟光,台大醫院,唭哩岸,中原,BL板橋,松山機場,迴龍,南京復興,景安,象山,圓山,竹圍,古亭,秀朗橋,南勢角,大安,劍南路,科技大樓,徐匯中學,永春,善導寺,Y板橋,萬芳醫院,民權西路,輔大,忠孝敦化,南港展覽館,江子翠,新埔,先嗇宮,新店區公所,雙連,新埔民生,西湖,西門,萬芳社區,南港,石牌,葫洲,公館,海山,亞東醫院,中和,淡水,土城,奇岩,中山國中,復興崗,木柵,三和國中,三重,松山,士林
0,3,0,0,2,0,0,1,3,0,0,3,1,0,0,0,0,0,1,0,0,6,3,3,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,2,3,0,4,0,1,0,0,0,0,1,0,1,2,0,1,0,0,1,5,0,0,1,0,0,1,0,2,0,3,1,1,0,0,1,0,0,0,2,0,4,0,2,0,0,0,3,0,1,9,0,1,1,0,2,0,2,0,0,0,0,3,0,0,1,0,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,39,56,70,38,33,12,34,30,28,24,30,15,15,7,0,11,5,63,2,8,32,50,22,82,1,2,0,5,54,4,0,5,0,10,18,3,5,10,14,37,30,8,23,7,29,1,2,15,34,36,29,9,7,3,16,11,24,0,0,4,1,0,2,18,46,35,8,4,31,0,30,0,7,13,37,16,48,13,51,2,51,17,4,12,25,26,7,0,13,34,5,22,28,48,45,2,24,38,0,4,45,5,3,58,5,51,28,24,0,74,10,17,17,5,1,22,2,0,43
7,108,97,216,101,77,29,63,61,61,62,76,35,41,13,6,33,11,126,14,24,92,105,56,148,3,14,2,26,172,9,0,7,1,34,43,23,27,59,28,69,90,25,81,23,91,0,12,35,77,71,58,10,37,3,89,37,50,0,1,13,11,1,17,66,132,73,21,13,64,2,79,0,32,23,100,44,121,44,117,4,126,54,12,38,67,78,21,0,25,82,9,47,98,132,150,6,67,63,0,12,75,6,26,156,19,97,119,120,4,212,43,56,25,25,10,75,3,6,118
8,259,105,252,100,96,40,84,91,87,157,95,46,108,24,12,34,23,209,37,30,154,143,71,197,7,21,4,44,184,21,0,8,3,56,48,75,37,100,38,77,138,37,115,41,123,0,22,88,129,130,105,46,60,7,122,47,119,6,0,21,16,4,23,87,170,127,34,15,85,1,204,4,59,43,177,66,153,76,120,6,181,54,18,49,86,136,44,0,44,98,33,67,160,272,345,4,108,68,0,20,123,24,41,226,44,137,244,233,3,306,73,80,57,24,23,109,6,14,164
9,117,58,149,81,58,23,48,59,57,53,71,19,44,8,8,18,16,106,14,31,94,68,39,87,5,12,5,27,100,16,0,11,1,42,40,34,32,51,32,50,72,23,95,20,77,0,5,25,85,68,32,20,29,2,56,30,47,2,3,5,14,2,12,69,92,69,25,66,20,2,77,24,29,31,72,40,109,44,68,1,97,35,10,30,54,71,54,0,25,56,23,50,67,118,151,5,52,50,0,22,87,12,15,149,27,81,106,97,1,172,33,56,28,8,3,39,4,10,80
