time,府中,萬隆,頂溪,明德,新店,關渡,忠孝新生,忠孝復興,東門,後山埤,龍山寺,中山國小,頂埔,辛亥,大湖公園,大橋頭站,菜寮,永安市場,新莊,松江南京,市政府,景美,台北101/世貿,芝山,頭前庄,動物園,南港軟體園區,台北車站,劍潭,新北投,橋和,小南門,十四張,六張犁,大安森林公園,東湖,內湖,昆陽,中山,台電大樓,三民高中,台北小巨蛋,永寧,港墘,大坪林,新北產業園區,小碧潭,南京三民,信義安和,七張,三重國小,丹鳳,台北橋,景平,紅樹林,行天宮,國父紀念館,幸福,北門,忠義,大直,板新,文德,中正紀念堂,北投,蘆洲,麟光,台大醫院,唭哩岸,中原,BL板橋,松山機場,迴龍,南京復興,景安,象山,圓山,竹圍,古亭,秀朗橋,南勢角,大安,劍南路,科技大樓,徐匯中學,永春,善導寺,Y板橋,萬芳醫院,民權西路,輔大,忠孝敦化,南港展覽館,江子翠,新埔,先嗇宮,新店區公所,雙連,新埔民生,西湖,西門,萬芳社區,南港,石牌,葫洲,公館,海山,亞東醫院,中和,淡水,土城,奇岩,中山國中,復興崗,木柵,三和國中,三重,松山,士林
0,2,1,1,0,0,1,0,5,1,0,3,1,2,0,1,0,0,1,0,1,7,0,3,0,1,1,1,4,1,1,0,1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,7,1,2,1,0,1,0,3,0,1,0,2,1,2,1,0,0,1,2,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,14,0,1,0,1,0,0,0,0,2,0,1,3,0,1,0,0,0,2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,21,26,35,11,18,10,12,18,18,9,12,12,5,3,0,6,3,21,2,6,26,16,20,36,2,0,0,5,25,1,0,3,0,3,4,1,1,8,7,28,15,2,4,1,30,0,1,5,22,36,12,11,4,3,5,9,9,0,0,2,1,0,0,17,33,12,10,0,17,0,13,0,11,6,27,12,28,9,20,1,26,14,3,5,17,15,9,0,6,29,4,16,11,22,17,0,14,19,0,1,50,0,2,50,2,33,27,15,0,42,10,16,3,4,8,17,0,1,22
7,34,13,74,24,20,16,14,26,22,16,23,8,13,3,1,6,6,71,10,18,24,34,19,58,3,2,1,18,44,9,0,2,1,10,19,2,4,19,8,23,41,10,9,3,51,0,3,9,20,39,13,10,9,0,23,12,11,0,0,1,5,2,2,24,34,25,7,6,24,1,21,3,16,8,45,21,45,18,46,3,49,27,4,8,35,18,10,0,15,20,4,20,24,26,34,2,31,29,0,3,43,3,0,42,2,42,40,27,0,71,5,12,12,13,2,27,3,4,36
8,71,47,120,41,51,27,24,35,56,30,47,23,22,1,2,17,12,69,12,13,74,47,28,70,1,7,4,50,76,13,0,1,1,29,18,11,13,25,16,51,52,13,35,12,61,0,7,25,49,61,40,24,15,4,24,22,36,3,2,8,9,0,6,37,72,39,12,17,18,2,51,3,13,29,47,27,66,30,57,2,64,29,6,16,39,39,20,0,18,33,27,34,54,59,68,4,54,45,0,8,55,5,18,86,12,57,49,50,1,118,18,33,18,9,10,44,2,11,73
9,73,49,129,56,45,26,35,42,46,45,71,23,30,8,4,23,7,89,12,16,49,52,41,88,2,4,0,36,86,8,0,2,2,27,30,19,15,30,20,37,68,22,35,11,54,0,7,31,53,66,50,17,26,0,36,21,28,2,2,2,8,2,8,55,76,59,8,12,38,2,66,25,22,25,61,32,52,29,37,2,56,31,8,27,47,53,31,0,21,46,20,24,38,67,87,4,40,54,0,8,125,3,13,87,4,67,57,50,1,136,33,33,21,9,3,39,1,4,77
10,72,62,131,25,45,28,43,42,45,35,61,25,36,11,6,21,11,88,5,17,81,76,52,80,4,7,1,39,93,13,1,4,2,24,31,21,11,24,35,58,59,24,39,27,67,0,20,27,37,59,48,21,28,2,37,33,33,1,2,7,8,2,8,67,60,60,17,16,30,1,51,6,20,21,59,20,89,29,75,3,85,33,4,12,67,45,42,0,22,43,13,39,50,63,90,3,65,39,0,3,163,8,11,108,3,62,47,56,2,117,22,33,16,12,7,51,4,5,65
11,78,50,134,47,42,40,78,46,46,36,90,39,21,13,3,22,13,77,17,21,80,62,84,61,1,10,1,54,111,19,0,9,2,29,37,11,22,33,51,59,51,8,46,30,53,1,16,20,53,60,29,27,34,4,25,33,30,1,21,4,9,1,4,79,60,50,17,37,33,2,108,7,29,35,51,29,108,28,62,2,67,27,8,12,48,46,56,1,10,55,13,65,49,69,96,10,50,53,0,13,234,5,27,83,6,65,57,53,0,138,23,26,14,16,9,32,6,11,87
12,81,44,119,22,21,38,116,96,61,59,99,39,23,6,3,16,30,82,24,41,116,81,157,79,5,17,0,70,117,44,0,17,1,24,37,21,9,32,113,41,35,20,50,27,55,2,5,32,82,62,44,24,34,5,59,59,58,4,9,4,6,1,3,93,97,38,13,66,38,4,82,23,27,31,75,42,126,33,65,4,71,55,17,44,49,59,71,0,15,87,11,96,59,102,94,6,46,59,0,7,257,8,19,88,7,150,59,57,4,178,12,36,31,20,5,41,8,12,121
13,102,56,139,58,58,24,233,126,126,55,128,28,25,11,9,25,20,92,26,42,164,105,290,97,7,37,3,71,115,26,1,4,1,33,61,21,25,43,103,69,52,28,51,28,62,0,12,63,54,61,51,21,38,17,60,53,75,3,6,5,13,0,6,118,67,53,20,31,34,2,114,20,41,27,74,34,131,25,101,4,80,69,21,84,63,65,72,2,22,93,27,88,53,87,169,9,64,73,0,16,292,7,32,86,17,157,76,60,4,190,24,23,22,16,7,45,5,21,135
14,70,56,110,37,40,32,152,163,76,54,102,43,15,3,9,16,8,92,8,54,291,45,266,78,5,28,3,63,122,26,3,7,2,35,66,19,14,29,134,47,55,33,34,21,53,1,12,35,66,46,39,12,27,10,44,69,89,3,2,3,9,1,7,118,63,47,20,29,41,0,88,19,14,40,48,62,103,26,119,4,83,41,19,42,51,61,66,2,17,60,7,122,49,42,124,8,43,74,0,10,360,8,30,83,6,135,54,43,5,199,15,23,15,9,15,34,7,11,105
15,49,31,109,47,43,23,195,191,105,44,102,38,17,10,3,31,11,84,14,33,270,56,404,87,4,52,2,58,149,21,0,4,4,40,60,9,19,13,215,49,29,53,26,14,48,0,7,40,104,41,26,12,26,6,49,62,97,2,7,3,15,0,9,98,54,27,7,25,23,4,78,27,14,42,42,59,138,23,103,2,52,63,33,32,39,51,77,0,17,74,10,165,37,53,68,7,42,69,1,5,469,7,48,74,5,121,43,24,5,227,11,19,21,9,11,25,6,20,122
16,55,41,102,25,37,21,287,182,81,46,105,42,19,3,3,22,6,71,14,30,362,45,400,64,8,79,3,63,135,27,0,9,2,20,69,17,11,19,213,62,24,33,21,16,43,0,7,34,93,47,26,10,25,5,34,70,107,2,8,2,16,2,7,120,49,34,5,39,16,2,57,36,19,64,39,58,161,19,99,5,52,57,40,40,37,40,92,1,22,89,10,158,45,54,58,10,36,96,0,11,427,2,46,89,6,134,25,26,4,245,11,22,35,13,9,32,11,17,148
17,58,37,76,41,34,39,316,179,107,57,67,28,8,9,4,31,9,66,10,35,424,31,401,67,9,92,0,85,127,30,1,15,1,14,108,13,15,33,213,76,29,59,21,14,45,0,3,30,94,47,36,11,26,1,47,48,125,4,8,5,20,0,10,222,67,34,6,53,23,3,63,24,6,64,41,56,174,30,91,2,74,69,37,48,25,50,110,0,19,101,8,172,29,67,66,4,50,79,0,11,511,6,35,105,10,116,43,32,1,274,13,18,16,23,9,35,8,14,149
18,49,45,97,50,47,47,252,180,150,23,75,38,15,2,5,19,11,115,4,64,327,118,304,89,2,42,0,77,213,16,0,11,1,23,45,8,11,20,238,77,20,33,18,17,55,1,10,26,85,29,20,13,42,22,42,44,87,2,16,8,14,0,8,111,55,33,14,30,19,2,66,31,14,55,35,50,154,34,83,3,46,61,33,162,31,63,65,0,16,99,17,144,36,32,111,5,25,76,1,10,415,5,32,101,3,256,30,28,0,263,13,21,25,10,13,24,15,13,153
