time,府中,萬隆,頂溪,明德,新店,關渡,忠孝新生,忠孝復興,東門,後山埤,龍山寺,中山國小,頂埔,辛亥,大湖公園,大橋頭站,菜寮,永安市場,新莊,松江南京,市政府,景美,台北101/世貿,芝山,頭前庄,動物園,南港軟體園區,台北車站,劍潭,新北投,橋和,小南門,十四張,六張犁,大安森林公園,東湖,內湖,昆陽,中山,台電大樓,三民高中,台北小巨蛋,永寧,港墘,大坪林,新北產業園區,小碧潭,南京三民,信義安和,七張,三重國小,丹鳳,台北橋,景平,紅樹林,行天宮,國父紀念館,幸福,北門,忠義,大直,板新,文德,中正紀念堂,北投,蘆洲,麟光,台大醫院,唭哩岸,中原,BL板橋,松山機場,迴龍,南京復興,景安,象山,圓山,竹圍,古亭,秀朗橋,南勢角,大安,劍南路,科技大樓,徐匯中學,永春,善導寺,Y板橋,萬芳醫院,民權西路,輔大,忠孝敦化,南港展覽館,江子翠,新埔,先嗇宮,新店區公所,雙連,新埔民生,西湖,西門,萬芳社區,南港,石牌,葫洲,公館,海山,亞東醫院,中和,淡水,土城,奇岩,中山國中,復興崗,木柵,三和國中,三重,松山,士林
0,2,0,1,0,0,0,2,2,0,1,1,1,0,0,0,0,1,1,0,1,4,1,2,1,0,1,1,3,1,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,3,1,3,0,0,0,1,0,0,0,1,0,0,0,0,1,3,0,0,0,3,0,0,0,0,0,1,1,2,1,1,0,2,0,1,2,0,6,1,1,2,1,0,4,0,2,4,0,2,1,0,0,1,0,0,4,1,0,1,0,2,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,45,55,118,58,55,7,31,21,38,35,44,21,14,7,4,7,5,75,4,10,46,43,27,82,1,2,0,6,67,6,0,5,0,8,20,6,11,18,10,37,46,9,22,5,36,1,5,16,48,43,27,14,7,1,18,19,31,0,0,6,2,1,5,36,56,39,14,5,25,3,29,1,6,19,38,39,57,11,44,1,74,33,2,15,24,36,16,0,17,37,4,25,42,57,46,6,39,31,0,7,44,6,10,76,11,74,43,23,1,108,3,27,8,12,3,26,6,3,49
7,128,99,225,96,86,32,64,60,67,55,57,37,25,23,7,33,11,155,14,28,125,113,67,161,0,14,4,25,156,19,0,8,4,45,41,27,25,52,32,81,82,30,58,25,92,1,17,29,70,99,62,26,49,2,77,35,47,0,1,14,8,0,9,74,133,84,25,11,50,1,96,0,35,23,110,61,143,53,121,4,144,52,16,27,88,80,30,0,24,83,13,43,96,134,148,7,69,57,0,11,71,21,21,169,23,104,108,113,2,250,40,57,29,33,16,88,5,6,148
8,218,113,249,128,113,55,71,92,92,138,90,62,82,28,16,39,18,214,49,26,147,150,94,212,3,23,1,45,176,30,0,14,6,53,48,72,44,100,31,94,146,35,120,47,113,0,19,81,134,119,95,50,65,11,133,64,82,1,5,16,15,1,33,112,180,133,36,22,88,2,141,0,63,48,174,88,175,80,132,8,204,61,19,57,104,166,55,0,43,116,21,78,184,189,120,9,133,90,0,25,101,29,41,253,42,147,242,214,2,290,88,87,54,33,23,107,5,10,169
9,138,54,159,88,52,33,53,62,54,63,89,20,58,20,6,24,12,118,13,19,148,73,62,106,3,9,2,42,110,11,0,12,1,32,40,30,27,49,33,47,79,14,93,19,73,0,13,37,71,64,44,23,33,5,62,39,41,1,0,11,7,1,11,50,93,82,16,53,33,1,116,22,30,18,96,45,90,32,81,2,103,69,12,27,47,76,59,0,17,51,22,56,70,138,200,6,60,75,1,17,78,14,35,134,24,94,105,122,1,177,28,45,24,16,11,44,9,12,103
10,100,39,125,63,42,29,49,57,49,38,69,13,21,18,3,16,10,62,12,36,127,39,51,91,4,4,2,45,109,13,0,6,3,27,27,6,21,33,36,40,73,23,57,12,47,0,10,30,50,41,33,21,21,2,44,47,33,1,1,10,9,1,7,53,67,55,12,108,31,1,63,9,25,25,62,29,123,33,77,6,63,100,4,16,40,68,67,0,27,61,11,56,41,66,101,4,30,78,0,8,109,11,18,112,11,72,55,59,3,141,22,45,24,13,9,49,5,10,83
11,68,28,93,80,38,30,94,85,64,41,83,30,20,10,2,27,17,63,16,89,157,47,71,83,3,10,4,60,105,16,1,28,4,21,41,13,13,39,66,46,41,28,34,26,52,0,13,39,49,59,32,21,23,11,31,56,32,1,4,18,20,2,17,87,51,33,7,150,25,3,60,5,11,49,63,33,153,34,77,2,69,66,19,20,39,59,125,0,21,64,11,98,56,77,84,5,45,80,0,9,155,8,24,141,9,84,61,46,0,108,30,25,25,13,6,24,2,12,92
12,81,44,84,62,27,37,113,97,72,42,101,43,15,4,4,32,19,89,9,111,168,52,82,104,4,11,5,64,128,12,0,38,3,31,69,16,14,37,75,55,52,41,43,48,71,1,8,35,65,63,38,15,19,0,38,73,74,3,7,14,22,4,30,163,60,41,17,112,36,0,80,15,16,66,53,42,96,34,72,3,57,104,10,38,34,86,135,0,20,83,17,99,37,64,111,7,51,118,0,15,197,7,28,150,10,130,58,45,4,129,12,32,26,16,12,36,4,19,114
13,95,43,121,62,48,37,109,153,72,48,91,28,22,6,5,27,9,72,14,79,191,46,76,85,2,12,12,66,122,25,1,21,3,25,47,18,21,48,133,47,54,26,39,25,69,0,12,49,56,58,38,17,21,0,54,68,56,4,4,18,17,4,8,97,68,54,11,80,22,3,80,17,15,45,70,45,82,29,72,2,70,93,18,38,32,88,96,0,31,90,21,102,51,77,114,16,41,101,0,17,235,7,34,132,25,92,55,49,1,161,22,35,21,12,7,35,12,9,101
14,69,27,78,36,33,26,138,160,61,33,77,33,10,7,2,15,9,52,17,61,201,42,98,75,6,23,6,50,120,14,5,20,1,28,24,11,15,42,125,46,20,34,25,19,41,0,4,32,69,49,21,13,9,5,35,77,66,1,4,11,13,2,5,100,39,29,9,112,21,0,63,25,18,69,52,28,42,16,66,0,64,69,27,32,33,58,105,0,25,65,14,119,31,59,65,3,17,95,1,24,228,4,22,117,14,117,44,42,2,151,16,24,10,10,1,21,10,18,82
15,51,28,66,55,24,29,187,182,80,32,56,27,6,5,6,16,9,45,13,68,230,42,103,62,1,43,2,66,112,11,1,22,2,23,90,6,12,28,178,39,32,38,11,19,44,0,6,32,77,44,27,8,21,0,35,96,62,0,4,22,14,2,12,88,37,27,7,117,21,3,59,34,7,70,41,39,67,17,80,1,30,74,24,32,21,55,111,1,10,63,13,129,43,41,45,8,29,105,0,20,267,4,19,143,13,119,21,23,4,128,11,11,23,5,1,17,3,9,102
16,51,33,62,72,24,39,181,217,100,39,95,35,9,3,5,27,7,35,8,127,379,38,143,94,10,67,3,53,142,25,1,32,3,20,73,9,4,32,172,98,31,76,21,24,46,2,8,62,69,35,19,7,14,2,29,73,75,0,14,20,22,6,25,190,58,29,13,118,24,2,56,48,12,80,38,46,101,23,116,0,37,115,25,67,16,34,139,1,26,112,17,155,35,41,40,9,37,120,0,25,346,2,25,129,9,156,27,39,2,128,9,26,29,5,7,25,6,8,138
17,79,46,100,61,36,60,363,265,208,63,112,51,16,6,2,41,4,81,14,235,513,68,300,155,5,72,12,76,160,27,1,56,4,49,99,14,17,95,256,195,48,93,33,44,93,0,15,84,182,85,32,24,21,6,33,162,168,2,19,26,27,1,21,441,118,45,19,217,29,4,90,38,23,229,70,85,128,28,205,1,52,203,44,85,45,67,236,0,29,226,19,257,82,72,75,15,47,204,0,54,404,3,68,213,17,256,44,53,4,165,26,28,60,11,11,36,15,26,192
18,65,42,111,71,29,108,377,342,175,68,108,91,30,13,8,39,20,82,18,311,660,67,478,162,2,23,43,95,202,16,7,59,2,77,108,11,13,119,344,118,32,186,54,111,126,1,1,138,343,59,31,17,32,8,40,206,232,0,20,33,26,1,14,342,84,33,7,141,23,10,98,49,20,355,58,192,137,30,238,4,59,288,52,163,46,111,263,0,35,263,31,433,122,95,100,29,57,212,0,151,400,9,47,217,22,217,42,49,2,137,19,81,93,22,7,39,10,34,157
