time,府中,萬隆,頂溪,明德,新店,關渡,忠孝新生,忠孝復興,東門,後山埤,龍山寺,中山國小,頂埔,辛亥,大湖公園,大橋頭站,菜寮,永安市場,新莊,松江南京,市政府,景美,台北101/世貿,芝山,頭前庄,動物園,南港軟體園區,台北車站,劍潭,新北投,橋和,小南門,十四張,六張犁,大安森林公園,東湖,內湖,昆陽,中山,台電大樓,三民高中,台北小巨蛋,永寧,港墘,大坪林,新北產業園區,小碧潭,南京三民,信義安和,七張,三重國小,丹鳳,台北橋,景平,紅樹林,行天宮,國父紀念館,幸福,北門,忠義,大直,板新,文德,中正紀念堂,北投,蘆洲,麟光,台大醫院,唭哩岸,中原,BL板橋,松山機場,迴龍,南京復興,景安,象山,圓山,竹圍,古亭,秀朗橋,南勢角,大安,劍南路,科技大樓,徐匯中學,永春,善導寺,Y板橋,萬芳醫院,民權西路,輔大,忠孝敦化,南港展覽館,江子翠,新埔,先嗇宮,新店區公所,雙連,新埔民生,西湖,西門,萬芳社區,南港,石牌,葫洲,公館,海山,亞東醫院,中和,淡水,土城,奇岩,中山國中,復興崗,木柵,三和國中,三重,松山,士林
0,0,0,1,1,0,0,1,4,0,0,3,3,0,0,0,0,0,0,0,1,4,1,2,0,0,0,0,4,2,1,1,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,3,2,0,0,0,0,1,3,2,0,0,0,3,0,0,0,4,1,7,1,2,0,0,0,4,0,0,5,0,1,0,1,2,1,1,0,2,1,0,0,0,0,1,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,46,51,75,52,29,9,28,40,35,31,38,20,13,6,3,13,5,68,0,7,36,56,31,80,3,2,1,6,62,5,0,4,0,16,17,8,8,17,23,32,39,10,18,6,39,2,12,17,41,40,32,21,14,1,16,18,21,0,1,4,2,1,1,38,52,34,12,4,32,1,26,0,5,12,33,19,52,20,63,0,65,28,4,10,20,27,15,0,19,47,2,36,24,47,46,4,35,33,0,4,31,4,4,93,7,57,50,32,2,102,14,20,11,8,3,26,1,1,54
7,129,118,236,91,70,31,64,69,80,74,63,39,50,14,9,22,12,160,18,27,107,117,65,174,1,13,2,18,145,18,0,8,3,36,53,28,28,77,31,66,108,34,79,20,85,0,12,32,91,85,62,29,40,6,94,33,60,0,0,16,9,0,16,76,138,88,28,6,50,3,82,1,31,23,102,56,122,60,120,5,155,55,19,26,80,101,37,0,33,80,12,46,99,147,143,4,80,58,0,16,74,21,31,162,20,103,109,133,2,222,48,58,29,29,11,71,7,11,136
8,240,107,239,104,102,47,90,106,66,139,102,52,96,26,17,42,31,203,40,27,141,148,100,214,5,23,2,46,192,26,1,17,5,51,52,75,57,92,29,76,124,29,125,49,114,0,20,76,104,145,113,40,59,4,120,63,87,1,1,21,15,3,23,114,168,142,39,25,87,2,206,4,59,34,183,79,162,89,121,11,183,59,22,49,95,152,44,0,33,115,31,78,180,244,349,2,114,89,0,17,130,22,43,242,36,139,246,216,5,320,83,87,43,30,16,110,7,9,159
9,125,73,152,77,41,34,71,65,54,61,82,26,36,11,10,20,11,109,22,30,97,73,42,99,3,11,4,33,112,15,1,10,2,46,22,27,35,39,55,46,75,23,78,31,60,0,10,39,57,91,53,24,31,9,61,35,49,0,0,11,13,0,12,57,74,63,18,77,33,3,84,13,25,26,87,38,72,50,84,1,89,47,12,31,54,72,55,0,26,53,27,58,92,105,149,5,62,68,0,18,99,16,20,136,25,76,108,96,0,178,31,44,24,14,8,49,2,14,91
10,88,32,119,50,42,42,52,67,46,34,82,22,27,9,4,18,15,75,15,29,92,56,49,73,13,5,1,36,96,19,0,6,3,14,28,10,20,27,41,41,54,17,49,10,37,0,7,28,55,56,23,23,25,1,53,36,27,1,2,10,6,0,4,65,66,54,8,121,25,0,74,9,20,37,55,23,67,34,45,4,49,38,6,16,42,66,59,0,22,50,16,55,45,72,104,10,46,87,0,9,118,8,19,147,8,65,59,44,2,142,20,41,16,8,9,30,3,9,85
11,79,25,94,51,38,33,84,89,57,55,89,21,14,9,10,17,15,54,12,54,94,50,70,84,6,4,4,44,103,14,1,25,1,23,33,10,14,38,73,55,52,18,42,25,65,0,8,44,52,50,27,7,21,0,33,58,37,2,8,23,11,1,6,81,58,36,13,148,35,4,55,13,15,24,45,28,98,27,65,2,61,35,9,23,35,30,103,0,30,67,7,66,61,56,78,4,31,95,0,9,156,12,32,133,12,72,44,49,4,122,22,23,24,8,4,32,4,10,96
