time,府中,萬隆,頂溪,明德,新店,關渡,忠孝新生,忠孝復興,東門,後山埤,龍山寺,中山國小,頂埔,辛亥,大湖公園,大橋頭站,菜寮,永安市場,新莊,松江南京,市政府,景美,台北101/世貿,芝山,頭前庄,動物園,南港軟體園區,台北車站,劍潭,新北投,橋和,小南門,十四張,六張犁,大安森林公園,東湖,內湖,昆陽,中山,台電大樓,三民高中,台北小巨蛋,永寧,港墘,大坪林,新北產業園區,小碧潭,南京三民,信義安和,七張,三重國小,丹鳳,台北橋,景平,紅樹林,行天宮,國父紀念館,幸福,北門,忠義,大直,板新,文德,中正紀念堂,北投,蘆洲,麟光,台大醫院,唭哩岸,中原,BL板橋,松山機場,迴龍,南京復興,景安,象山,圓山,竹圍,古亭,秀朗橋,南勢角,大安,劍南路,科技大樓,徐匯中學,永春,善導寺,Y板橋,萬芳醫院,民權西路,輔大,忠孝敦化,南港展覽館,江子翠,新埔,先嗇宮,新店區公所,雙連,新埔民生,西湖,西門,萬芳社區,南港,石牌,葫洲,公館,海山,亞東醫院,中和,淡水,土城,奇岩,中山國中,復興崗,木柵,三和國中,三重,松山,士林
0,0,0,1,0,0,0,1,0,0,0,6,2,0,0,0,0,0,0,1,1,1,0,2,3,0,0,0,2,3,0,0,0,0,0,0,1,0,0,6,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,2,1,2,0,0,1,0,1,1,0,1,0,1,1,1,1,0,2,1,0,0,2,0,7,0,1,1,0,0,2,0,0,6,0,2,0,1,1,0,0,0,2,1,0,1,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,40,43,73,47,39,13,21,37,27,28,35,19,9,4,2,10,6,66,3,11,36,47,30,75,1,2,0,10,69,2,0,1,0,14,15,3,14,22,15,33,32,12,21,5,22,0,1,13,32,41,30,8,18,0,14,12,27,0,0,2,2,2,5,27,69,22,7,2,27,1,30,0,7,17,32,18,45,12,48,3,49,23,0,12,19,25,14,0,13,38,3,29,30,45,36,3,21,41,0,4,35,1,5,57,4,51,33,24,0,83,7,23,9,11,1,26,2,4,47
7,145,119,213,100,76,26,58,54,69,56,53,37,36,13,5,33,15,144,13,27,99,107,56,188,2,15,3,12,146,20,0,4,2,30,45,21,29,58,30,60,100,22,77,24,79,1,14,33,87,91,53,13,32,2,95,30,48,1,0,15,8,0,10,73,140,82,20,12,54,3,85,0,38,22,92,46,153,49,117,5,135,52,12,33,80,73,24,0,31,67,15,36,90,128,125,8,72,56,0,13,68,23,19,160,12,102,108,138,1,212,36,57,27,22,9,65,5,5,123
8,274,95,257,110,115,61,84,82,81,142,99,41,93,26,11,34,24,224,42,30,133,146,79,205,5,22,3,40,171,24,3,12,7,56,45,73,49,104,37,84,119,35,135,42,112,0,24,93,108,145,103,43,56,5,146,56,95,1,2,17,16,2,21,92,181,133,32,22,90,4,197,2,68,45,149,61,159,81,124,9,187,70,14,42,105,136,44,0,41,95,38,56,173,250,338,4,98,82,0,20,121,26,48,242,39,132,229,204,4,332,75,83,43,32,19,125,13,12,169
9,128,46,161,79,49,32,43,34,53,66,68,21,29,8,11,20,9,119,14,22,116,73,49,107,7,12,7,51,122,14,0,11,1,29,58,42,31,51,41,51,67,24,78,38,75,0,11,30,68,57,22,22,35,6,55,41,39,1,0,8,10,1,11,67,75,72,11,72,29,0,107,26,31,31,69,42,79,48,75,3,89,41,6,26,54,66,43,0,19,53,33,42,80,119,151,3,72,59,0,17,88,10,26,128,25,98,115,96,2,176,38,32,19,9,13,54,4,10,89
