time,府中,萬隆,頂溪,明德,新店,關渡,忠孝新生,忠孝復興,東門,後山埤,龍山寺,中山國小,頂埔,辛亥,大湖公園,大橋頭站,菜寮,永安市場,新莊,松江南京,市政府,景美,台北101/世貿,芝山,頭前庄,動物園,南港軟體園區,台北車站,劍潭,新北投,橋和,小南門,十四張,六張犁,大安森林公園,東湖,內湖,昆陽,中山,台電大樓,三民高中,台北小巨蛋,永寧,港墘,大坪林,新北產業園區,小碧潭,南京三民,信義安和,七張,三重國小,丹鳳,台北橋,景平,紅樹林,行天宮,國父紀念館,幸福,北門,忠義,大直,板新,文德,中正紀念堂,北投,蘆洲,麟光,台大醫院,唭哩岸,中原,BL板橋,松山機場,迴龍,南京復興,景安,象山,圓山,竹圍,古亭,秀朗橋,南勢角,大安,劍南路,科技大樓,徐匯中學,永春,善導寺,Y板橋,萬芳醫院,民權西路,輔大,忠孝敦化,南港展覽館,江子翠,新埔,先嗇宮,新店區公所,雙連,新埔民生,西湖,西門,萬芳社區,南港,石牌,葫洲,公館,海山,亞東醫院,中和,淡水,土城,奇岩,中山國中,復興崗,木柵,三和國中,三重,松山,士林
0,4,8,13,9,7,3,6,12,14,6,10,3,1,0,1,6,2,13,0,2,10,14,9,15,0,1,0,0,15,1,1,1,0,5,3,2,2,3,6,11,10,6,2,2,11,0,2,4,8,6,10,9,1,1,6,4,6,0,0,1,1,0,2,5,12,6,2,0,5,0,17,0,3,9,5,3,10,7,4,0,16,12,3,5,7,7,5,0,5,13,7,7,7,15,14,1,12,3,0,2,18,1,6,12,1,15,10,4,0,22,1,3,2,2,2,11,1,1,10
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,2,10,9,1,3,21,21,21,8,10,1,5,0,0,1,2,2,1,11,53,8,33,10,0,0,1,8,21,2,0,3,0,4,11,0,0,7,15,9,3,3,3,5,5,0,1,4,24,6,4,1,1,0,5,11,12,0,0,8,5,0,1,36,6,1,3,40,2,0,6,3,1,12,4,12,17,1,13,0,2,13,0,7,2,9,14,0,4,8,0,19,16,3,5,2,1,41,0,5,12,0,10,46,0,17,2,4,1,15,1,4,4,3,4,0,1,0,17
7,6,5,23,44,8,18,80,106,114,19,16,25,10,3,0,13,8,13,3,114,238,24,87,89,0,8,11,21,81,5,0,37,1,18,46,2,4,64,40,85,9,58,9,16,29,0,0,26,108,8,4,6,1,1,13,54,74,0,6,30,14,0,4,227,25,10,0,128,6,1,15,14,3,95,8,47,57,10,111,0,15,100,8,43,7,15,104,0,31,97,3,117,44,18,13,10,10,129,0,27,69,6,30,151,2,92,3,12,0,12,4,13,32,3,6,4,4,7,74
8,11,21,44,41,9,119,270,261,176,23,30,68,14,1,1,32,7,28,2,346,567,43,463,128,3,14,31,43,129,7,1,86,1,68,79,3,8,63,168,135,6,170,11,95,81,0,1,101,348,48,19,2,12,7,36,202,214,0,11,40,20,0,6,427,39,4,2,263,11,2,22,24,1,324,13,178,131,20,196,0,18,315,45,103,9,66,239,0,49,283,6,309,67,24,34,21,32,254,0,140,202,5,13,189,5,240,9,17,0,20,3,56,79,10,6,25,2,9,110
9,15,25,50,45,39,49,160,197,61,30,37,34,9,5,2,20,3,34,1,124,373,41,300,72,2,47,3,49,106,10,1,37,0,37,54,1,5,32,133,59,14,73,4,73,49,0,2,37,164,16,8,2,17,0,25,84,135,0,7,20,20,1,4,167,22,5,10,174,10,0,20,19,3,142,4,143,51,9,123,1,17,172,22,76,13,47,149,0,29,111,7,170,43,24,13,3,18,125,0,83,148,1,9,167,2,139,13,14,0,45,6,27,39,6,1,5,6,8,112
