time,府中,萬隆,頂溪,明德,新店,關渡,忠孝新生,忠孝復興,東門,後山埤,龍山寺,中山國小,頂埔,辛亥,大湖公園,大橋頭站,菜寮,永安市場,新莊,松江南京,市政府,景美,台北101/世貿,芝山,頭前庄,動物園,南港軟體園區,台北車站,劍潭,新北投,橋和,小南門,十四張,六張犁,大安森林公園,東湖,內湖,昆陽,中山,台電大樓,三民高中,台北小巨蛋,永寧,港墘,大坪林,新北產業園區,小碧潭,南京三民,信義安和,七張,三重國小,丹鳳,台北橋,景平,紅樹林,行天宮,國父紀念館,幸福,北門,忠義,大直,板新,文德,中正紀念堂,北投,蘆洲,麟光,台大醫院,唭哩岸,中原,BL板橋,松山機場,迴龍,南京復興,景安,象山,圓山,竹圍,古亭,秀朗橋,南勢角,大安,劍南路,科技大樓,徐匯中學,永春,善導寺,Y板橋,萬芳醫院,民權西路,輔大,忠孝敦化,南港展覽館,江子翠,新埔,先嗇宮,新店區公所,雙連,新埔民生,西湖,西門,萬芳社區,南港,石牌,葫洲,公館,海山,亞東醫院,中和,淡水,土城,奇岩,中山國中,復興崗,木柵,三和國中,三重,松山,士林
0,9,14,29,8,7,11,2,18,12,8,7,10,4,3,0,4,8,25,3,9,8,12,12,16,1,3,0,2,13,2,0,1,0,5,6,3,3,5,7,7,8,6,1,4,12,0,0,5,7,12,6,6,8,1,11,2,7,0,0,1,2,0,3,9,6,5,4,0,2,0,13,0,5,5,14,11,14,8,14,0,11,13,1,4,8,14,4,0,4,14,3,7,8,9,15,0,6,10,0,2,16,0,6,17,0,24,10,4,0,38,1,4,3,3,4,5,1,2,9
1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,7,11,11,4,9,14,19,22,10,9,5,2,0,0,4,0,0,1,13,55,8,30,11,0,0,1,10,26,5,0,2,0,6,15,1,0,9,13,8,4,3,10,5,6,0,0,5,24,8,3,0,1,0,7,19,9,0,0,5,0,0,0,30,5,1,3,39,3,0,4,8,1,12,3,8,28,4,7,0,2,16,0,9,1,9,14,0,2,10,0,16,15,2,4,1,2,44,0,3,12,2,12,40,1,14,2,3,1,10,0,4,5,5,2,2,0,1,27
7,3,8,20,42,16,23,73,120,113,23,17,26,13,2,0,17,8,13,2,120,240,24,96,84,0,5,8,12,107,2,0,42,1,21,57,1,5,52,70,96,3,63,8,20,23,0,1,31,114,12,4,6,2,0,19,63,77,1,4,30,22,0,2,225,37,9,6,134,6,1,15,19,3,96,7,34,63,7,99,0,7,108,13,40,9,19,96,0,15,71,4,126,54,17,12,14,11,130,0,27,65,3,34,138,7,92,7,19,0,31,5,14,31,2,10,5,7,2,76
8,9,12,34,43,16,113,268,225,155,20,41,62,12,1,2,27,6,26,3,308,563,48,431,132,5,11,37,40,138,8,2,68,1,62,95,6,6,77,179,169,10,143,13,104,88,0,1,87,353,38,8,4,6,6,33,197,201,2,9,43,17,1,3,442,40,3,6,276,10,1,24,23,0,311,14,157,114,10,235,0,19,316,46,115,18,72,228,0,15,232,4,323,77,41,25,15,12,284,0,144,217,6,23,243,9,175,12,20,2,25,6,44,79,9,5,19,1,5,144
9,6,21,43,38,18,58,154,192,79,21,25,42,4,0,2,16,6,22,3,129,332,21,317,67,2,62,3,51,123,8,2,66,1,44,47,1,7,40,123,47,10,105,11,76,54,0,0,50,170,20,7,3,13,1,22,119,155,0,6,30,16,2,0,166,25,12,4,223,10,2,25,13,2,155,15,155,68,12,150,3,14,163,34,45,9,45,160,0,9,140,9,196,38,21,16,7,19,139,0,91,110,2,14,174,4,144,8,17,0,80,4,28,39,4,4,6,5,7,118
