time,府中,萬隆,頂溪,明德,新店,關渡,忠孝新生,忠孝復興,東門,後山埤,龍山寺,中山國小,頂埔,辛亥,大湖公園,大橋頭站,菜寮,永安市場,新莊,松江南京,市政府,景美,台北101/世貿,芝山,頭前庄,動物園,南港軟體園區,台北車站,劍潭,新北投,橋和,小南門,十四張,六張犁,大安森林公園,東湖,內湖,昆陽,中山,台電大樓,三民高中,台北小巨蛋,永寧,港墘,大坪林,新北產業園區,小碧潭,南京三民,信義安和,七張,三重國小,丹鳳,台北橋,景平,紅樹林,行天宮,國父紀念館,幸福,北門,忠義,大直,板新,文德,中正紀念堂,北投,蘆洲,麟光,台大醫院,唭哩岸,中原,BL板橋,松山機場,迴龍,南京復興,景安,象山,圓山,竹圍,古亭,秀朗橋,南勢角,大安,劍南路,科技大樓,徐匯中學,永春,善導寺,Y板橋,萬芳醫院,民權西路,輔大,忠孝敦化,南港展覽館,江子翠,新埔,先嗇宮,新店區公所,雙連,新埔民生,西湖,西門,萬芳社區,南港,石牌,葫洲,公館,海山,亞東醫院,中和,淡水,土城,奇岩,中山國中,復興崗,木柵,三和國中,三重,松山,士林
0,8,13,20,18,6,10,2,16,17,8,13,11,4,2,0,5,5,14,1,4,8,7,12,8,1,1,0,3,10,0,0,0,1,7,8,1,5,3,10,9,11,6,5,2,9,0,0,6,7,13,12,5,6,1,9,5,12,0,1,1,1,0,1,7,9,11,4,2,4,0,10,1,4,6,5,6,6,14,6,0,10,8,2,3,17,13,3,0,3,7,8,4,9,7,26,6,13,5,0,3,17,2,6,18,2,23,5,4,0,38,0,4,5,3,3,9,3,3,9
1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,5,7,9,3,3,19,14,19,3,9,1,2,0,0,3,4,3,1,9,51,5,26,16,1,1,1,6,30,5,0,5,1,5,19,1,2,5,9,11,2,7,8,5,7,0,0,5,20,11,3,0,0,0,7,10,12,0,0,5,4,0,0,32,6,3,1,48,0,0,5,7,0,9,4,13,16,2,8,0,1,13,0,7,2,8,13,0,2,12,1,18,16,3,2,1,2,33,0,5,11,2,8,39,0,11,3,8,1,11,0,6,5,4,2,1,0,0,20
7,7,7,29,62,14,19,81,106,113,20,13,21,9,1,1,10,5,18,1,137,226,26,114,73,2,2,11,25,83,6,0,38,1,23,48,2,4,49,33,84,8,62,7,17,28,0,1,30,114,18,4,6,9,1,13,63,70,0,5,19,14,0,6,239,35,7,4,152,8,0,18,18,6,114,9,47,56,8,90,0,7,122,10,39,8,27,118,0,15,113,4,125,45,14,7,10,12,124,0,24,71,2,29,155,4,101,1,17,1,29,4,14,26,8,12,5,5,3,65
8,6,23,42,59,13,122,288,226,181,25,36,68,10,4,0,31,6,41,7,337,615,57,438,153,3,16,30,45,162,9,0,69,0,68,85,2,9,70,169,156,10,151,15,77,95,0,2,87,349,33,5,2,10,3,27,200,202,1,8,50,20,1,6,431,51,7,4,271,11,0,28,38,0,363,13,169,133,13,231,0,15,333,41,120,12,78,271,0,20,240,3,290,73,29,18,19,20,286,0,151,204,4,41,178,5,192,8,18,0,24,3,53,76,13,10,21,1,8,107
9,9,15,42,38,19,61,209,171,85,23,29,38,5,2,5,17,9,31,1,124,360,21,291,86,2,38,5,42,129,10,0,42,1,53,74,3,7,59,120,63,8,89,10,78,47,1,6,52,172,20,9,2,7,2,18,102,139,0,8,18,18,0,4,164,36,12,6,219,5,2,24,44,7,133,14,143,96,6,129,1,16,208,30,61,9,83,202,0,36,135,5,210,49,18,27,6,17,144,0,82,149,1,15,175,3,122,5,19,0,48,2,32,42,6,10,10,2,10,116
