time,府中,萬隆,頂溪,明德,新店,關渡,忠孝新生,忠孝復興,東門,後山埤,龍山寺,中山國小,頂埔,辛亥,大湖公園,大橋頭站,菜寮,永安市場,新莊,松江南京,市政府,景美,台北101/世貿,芝山,頭前庄,動物園,南港軟體園區,台北車站,劍潭,新北投,橋和,小南門,十四張,六張犁,大安森林公園,東湖,內湖,昆陽,中山,台電大樓,三民高中,台北小巨蛋,永寧,港墘,大坪林,新北產業園區,小碧潭,南京三民,信義安和,七張,三重國小,丹鳳,台北橋,景平,紅樹林,行天宮,國父紀念館,幸福,北門,忠義,大直,板新,文德,中正紀念堂,北投,蘆洲,麟光,台大醫院,唭哩岸,中原,BL板橋,松山機場,迴龍,南京復興,景安,象山,圓山,竹圍,古亭,秀朗橋,南勢角,大安,劍南路,科技大樓,徐匯中學,永春,善導寺,Y板橋,萬芳醫院,民權西路,輔大,忠孝敦化,南港展覽館,江子翠,新埔,先嗇宮,新店區公所,雙連,新埔民生,西湖,西門,萬芳社區,南港,石牌,葫洲,公館,海山,亞東醫院,中和,淡水,土城,奇岩,中山國中,復興崗,木柵,三和國中,三重,松山,士林
0,5,24,43,18,6,4,9,17,18,8,12,13,5,5,0,7,10,22,2,2,19,23,15,28,3,4,0,2,18,0,0,6,0,13,7,2,6,8,15,19,17,8,2,12,16,1,0,5,13,27,10,5,2,0,20,13,7,0,1,5,21,0,2,6,11,9,6,0,10,0,4,1,8,10,12,6,22,17,16,4,28,6,1,3,11,8,4,0,15,11,4,10,20,17,14,2,15,14,0,7,33,2,3,25,1,32,16,13,2,53,1,7,6,2,6,20,4,4,22
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,3,0,1,0,0,0,0,0,0,0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,4,13,4,7,3,6,11,10,6,8,2,1,0,1,7,1,2,0,2,24,6,11,6,0,1,0,15,26,5,0,3,0,3,8,0,0,1,8,3,3,2,6,4,3,0,0,6,7,7,0,1,0,0,3,8,9,0,1,2,3,0,0,14,6,0,1,10,1,0,8,10,2,4,1,8,87,2,4,0,5,9,1,4,2,6,2,0,1,16,0,4,7,1,11,1,1,12,0,1,15,1,6,15,0,9,1,8,2,12,5,3,5,1,2,2,1,4,9
7,4,4,16,15,22,9,14,27,12,12,16,2,9,1,4,11,1,6,3,12,28,38,25,23,1,8,0,39,45,21,0,2,0,2,13,1,2,6,9,18,3,2,7,3,8,0,0,5,14,3,2,4,2,2,14,19,7,0,0,0,2,0,2,47,14,3,2,15,2,0,9,11,1,6,4,13,165,9,11,0,11,7,5,7,5,12,28,0,9,25,2,15,10,23,7,3,2,23,0,5,41,0,4,61,0,32,15,6,0,26,8,4,3,3,3,3,3,1,37
8,20,17,34,14,7,13,51,55,49,12,26,17,4,0,4,9,1,14,1,41,54,47,73,26,0,33,1,62,81,10,1,9,0,8,39,5,1,9,32,63,5,14,9,25,16,0,0,9,33,18,3,1,4,0,10,43,35,0,3,3,7,0,2,72,31,3,4,33,11,0,15,18,2,49,7,30,606,5,34,0,7,62,11,30,5,18,68,0,17,47,3,38,8,28,8,1,8,44,0,7,76,1,6,93,0,103,27,5,2,62,1,10,11,8,8,6,7,3,62
9,20,15,62,22,50,37,113,101,47,15,37,18,9,4,3,8,6,18,4,23,120,17,179,42,0,62,2,68,134,11,1,8,0,8,38,3,7,11,89,39,11,17,10,21,11,0,4,8,29,13,7,2,29,2,26,56,72,0,8,2,11,0,2,83,20,5,12,52,5,2,17,14,1,34,12,44,803,10,38,0,23,44,20,30,10,20,90,0,9,45,7,51,15,13,17,3,16,55,0,5,114,1,10,35,2,106,9,8,3,128,5,9,6,5,7,11,5,9,124
10,25,15,61,17,65,20,171,144,56,19,98,12,5,4,16,14,4,19,8,53,307,28,334,64,1,104,1,87,126,24,2,10,1,13,80,2,13,18,149,34,16,34,5,27,3,0,12,14,55,16,13,2,10,2,26,68,89,0,10,3,6,0,3,105,37,9,4,34,8,0,15,18,2,74,10,32,763,15,37,0,20,40,38,29,11,26,106,0,9,66,2,87,17,11,21,4,10,58,0,3,308,0,21,63,3,85,8,11,0,279,5,16,14,2,6,6,10,13,188
11,27,19,38,18,55,20,214,183,76,14,70,28,4,1,1,16,6,32,3,66,337,32,458,48,7,114,1,91,79,14,0,6,0,13,44,5,7,24,274,54,15,48,12,11,21,0,7,27,69,18,12,6,11,1,25,51,177,1,10,5,13,0,4,86,33,9,9,48,8,0,40,26,4,69,15,57,618,20,63,2,25,45,37,27,17,28,99,0,16,96,6,195,14,34,34,4,10,80,2,10,459,3,26,40,4,76,9,13,2,299,4,5,22,3,6,10,16,14,150
12,51,21,57,22,49,16,229,223,71,35,84,23,4,1,1,15,5,35,8,54,404,39,360,50,9,74,3,101,134,19,1,16,3,28,53,10,10,23,298,41,21,44,13,10,27,1,11,33,61,26,13,3,33,4,30,61,101,0,14,4,12,1,12,106,56,20,9,62,18,1,76,25,3,79,28,44,616,14,78,1,16,79,26,32,24,28,106,0,17,111,5,203,23,55,57,2,13,83,0,6,501,5,36,56,2,125,23,17,0,274,7,14,29,4,7,19,9,10,127
13,85,38,110,29,35,32,295,193,81,29,75,31,15,2,2,28,8,72,16,49,335,37,300,69,8,64,6,79,138,25,0,12,0,20,57,12,9,30,258,55,30,88,14,13,33,0,8,39,90,37,25,21,26,0,34,81,133,4,11,3,23,0,7,181,39,38,15,45,16,2,95,31,21,63,31,38,560,34,71,5,47,59,8,35,42,30,129,0,18,86,19,161,31,62,50,0,32,92,0,14,521,11,22,78,10,107,32,44,6,242,9,16,26,12,5,27,5,8,155
14,55,26,148,30,45,31,263,165,71,58,136,37,21,13,2,35,10,78,19,39,293,50,371,83,6,32,4,88,105,29,0,9,0,19,68,6,15,27,239,62,26,171,27,20,42,0,12,27,61,48,39,12,37,3,41,63,108,1,16,5,11,1,10,181,58,41,17,38,21,1,93,36,17,71,36,39,588,18,104,1,63,55,17,13,26,61,103,0,16,116,15,118,24,49,78,7,39,99,0,9,551,5,36,114,2,108,42,33,4,256,17,15,23,5,4,16,13,20,152
