time,府中,萬隆,頂溪,明德,新店,關渡,忠孝新生,忠孝復興,東門,後山埤,龍山寺,中山國小,頂埔,辛亥,大湖公園,大橋頭站,菜寮,永安市場,新莊,松江南京,市政府,景美,台北101/世貿,芝山,頭前庄,動物園,南港軟體園區,台北車站,劍潭,新北投,橋和,小南門,十四張,六張犁,大安森林公園,東湖,內湖,昆陽,中山,台電大樓,三民高中,台北小巨蛋,永寧,港墘,大坪林,新北產業園區,小碧潭,南京三民,信義安和,七張,三重國小,丹鳳,台北橋,景平,紅樹林,行天宮,國父紀念館,幸福,北門,忠義,大直,板新,文德,中正紀念堂,北投,蘆洲,麟光,台大醫院,唭哩岸,中原,BL板橋,松山機場,迴龍,南京復興,景安,象山,圓山,竹圍,古亭,秀朗橋,南勢角,大安,劍南路,科技大樓,徐匯中學,永春,善導寺,Y板橋,萬芳醫院,民權西路,輔大,忠孝敦化,南港展覽館,江子翠,新埔,先嗇宮,新店區公所,雙連,新埔民生,西湖,西門,萬芳社區,南港,石牌,葫洲,公館,海山,亞東醫院,中和,淡水,土城,奇岩,中山國中,復興崗,木柵,三和國中,三重,松山,士林
0,7,13,21,10,3,13,5,14,8,5,8,3,3,3,0,0,3,20,3,4,9,9,7,20,2,0,0,1,17,1,0,1,0,5,3,3,3,4,6,5,13,6,3,1,11,0,0,4,14,8,9,4,11,2,10,4,11,1,0,1,6,0,2,5,15,5,6,1,5,0,12,0,7,4,10,10,12,4,6,1,8,11,1,10,7,12,3,0,8,12,2,15,11,11,12,1,8,10,0,4,11,0,3,20,2,18,10,11,0,32,3,4,8,1,2,10,5,1,18
1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,2,7,8,2,2,16,15,21,6,7,4,11,0,1,2,4,4,1,7,62,9,30,11,0,0,1,7,36,8,1,3,0,7,16,1,1,8,14,11,2,2,6,7,9,0,0,3,28,9,3,0,2,0,4,9,7,0,1,4,0,0,0,34,11,2,0,49,3,0,4,5,0,15,3,9,19,5,10,0,2,16,0,5,2,9,18,0,3,10,0,18,16,4,8,1,2,40,0,9,13,1,12,40,2,14,1,3,1,12,0,4,15,5,2,1,1,1,24
7,9,11,30,48,15,27,78,101,102,15,19,21,12,1,1,12,7,11,4,135,226,19,100,92,2,6,10,11,74,9,0,40,2,21,53,1,5,60,41,83,4,66,7,16,31,1,0,26,110,16,4,6,4,0,17,65,74,0,3,28,16,0,5,229,36,10,4,129,7,0,10,25,3,99,5,41,56,13,93,0,8,116,13,43,5,30,84,0,37,113,3,122,38,20,14,10,7,131,0,23,66,3,21,123,1,143,3,22,0,17,6,12,27,5,7,4,4,6,70
8,12,35,38,33,15,94,282,228,195,20,35,66,11,2,1,31,8,28,3,322,561,58,421,131,3,14,38,44,137,16,0,63,0,69,86,5,5,72,178,122,14,169,14,88,90,0,1,86,341,34,22,2,11,6,29,208,197,1,9,49,16,0,1,393,49,3,4,219,17,1,27,29,5,325,15,164,122,10,231,0,21,284,41,117,14,76,245,0,47,227,6,302,76,26,19,16,21,262,0,135,210,7,19,194,5,198,10,14,0,26,4,53,79,11,8,26,1,11,117
9,7,15,28,39,32,61,129,206,71,30,34,24,5,4,1,17,8,23,5,124,336,33,299,64,3,43,1,38,104,18,0,37,0,34,51,3,5,42,116,56,6,88,11,62,45,1,1,41,165,15,8,2,14,0,23,102,140,0,5,39,12,0,3,165,27,6,4,201,5,2,25,29,7,125,13,140,65,25,112,1,8,144,24,61,11,46,160,0,22,112,6,155,46,21,19,7,13,121,0,88,118,1,16,152,6,110,11,13,0,53,5,29,50,5,1,10,8,8,133
