time,府中,萬隆,頂溪,明德,新店,關渡,忠孝新生,忠孝復興,東門,後山埤,龍山寺,中山國小,頂埔,辛亥,大湖公園,大橋頭站,菜寮,永安市場,新莊,松江南京,市政府,景美,台北101/世貿,芝山,頭前庄,動物園,南港軟體園區,台北車站,劍潭,新北投,橋和,小南門,十四張,六張犁,大安森林公園,東湖,內湖,昆陽,中山,台電大樓,三民高中,台北小巨蛋,永寧,港墘,大坪林,新北產業園區,小碧潭,南京三民,信義安和,七張,三重國小,丹鳳,台北橋,景平,紅樹林,行天宮,國父紀念館,幸福,北門,忠義,大直,板新,文德,中正紀念堂,北投,蘆洲,麟光,台大醫院,唭哩岸,中原,BL板橋,松山機場,迴龍,南京復興,景安,象山,圓山,竹圍,古亭,秀朗橋,南勢角,大安,劍南路,科技大樓,徐匯中學,永春,善導寺,Y板橋,萬芳醫院,民權西路,輔大,忠孝敦化,南港展覽館,江子翠,新埔,先嗇宮,新店區公所,雙連,新埔民生,西湖,西門,萬芳社區,南港,石牌,葫洲,公館,海山,亞東醫院,中和,淡水,土城,奇岩,中山國中,復興崗,木柵,三和國中,三重,松山,士林
0,13,12,27,12,7,5,7,14,17,7,11,6,4,5,0,2,4,22,1,5,10,13,19,24,0,1,0,3,19,0,1,1,0,4,4,0,3,8,9,5,12,4,1,7,10,0,1,10,20,18,8,1,9,1,16,4,8,0,0,0,4,0,1,6,10,7,2,2,5,0,13,1,6,6,8,2,11,8,13,2,12,7,3,2,5,8,1,0,4,5,4,6,9,14,18,0,12,16,0,2,15,2,4,32,1,22,12,2,0,32,4,9,5,5,4,6,3,5,8
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,9,12,10,4,6,20,17,26,5,11,5,2,0,0,3,4,4,1,10,64,9,29,11,0,1,1,6,21,3,0,3,2,7,19,1,2,4,13,9,2,2,4,2,8,0,0,3,27,7,2,0,0,0,5,16,9,0,1,4,3,0,0,35,10,4,0,41,2,0,8,5,2,14,5,6,18,4,10,0,1,15,0,5,2,7,18,0,0,14,1,17,15,7,11,1,3,34,0,4,14,2,13,34,0,15,2,3,1,9,1,6,6,3,3,0,1,2,28
7,4,7,24,39,11,22,77,107,108,24,21,20,12,3,1,12,10,12,1,108,225,28,115,76,2,6,11,19,93,5,0,38,1,25,53,4,2,59,37,98,5,60,9,21,34,0,1,29,111,15,4,6,2,0,16,60,70,0,3,18,20,0,2,241,24,12,5,136,9,1,14,20,2,99,6,36,61,13,90,0,12,100,10,51,7,17,97,0,17,83,4,117,52,18,16,14,6,141,0,25,74,4,26,126,3,93,4,12,0,28,4,14,31,3,6,4,3,5,79
8,8,26,46,49,14,107,290,234,173,21,35,61,10,6,0,34,8,28,4,344,585,66,428,131,3,23,27,39,140,12,0,74,0,79,90,4,7,82,176,155,13,191,12,75,97,0,0,78,361,41,10,2,10,5,16,207,197,0,13,54,18,0,2,402,39,4,7,248,14,0,28,28,4,312,18,171,138,13,232,1,14,300,45,116,10,87,232,0,12,233,4,303,76,31,21,21,18,264,0,137,223,2,21,229,8,178,8,17,0,28,4,44,74,13,7,23,4,10,112
9,14,21,27,40,20,70,171,188,81,9,40,35,3,5,3,22,3,24,1,128,373,22,329,58,2,48,4,36,130,7,0,34,1,43,67,2,6,34,132,59,10,91,15,67,64,1,1,39,152,11,14,1,10,0,19,96,137,0,8,35,12,1,0,164,38,3,4,220,13,2,24,33,3,122,13,156,67,14,130,0,18,153,25,61,6,52,156,0,10,128,7,199,28,31,20,8,15,125,0,100,111,1,13,144,3,110,2,15,0,86,16,28,46,4,3,8,4,6,112
