time,府中,萬隆,頂溪,明德,新店,關渡,忠孝新生,忠孝復興,東門,後山埤,龍山寺,中山國小,頂埔,辛亥,大湖公園,大橋頭站,菜寮,永安市場,新莊,松江南京,市政府,景美,台北101/世貿,芝山,頭前庄,動物園,南港軟體園區,台北車站,劍潭,新北投,橋和,小南門,十四張,六張犁,大安森林公園,東湖,內湖,昆陽,中山,台電大樓,三民高中,台北小巨蛋,永寧,港墘,大坪林,新北產業園區,小碧潭,南京三民,信義安和,七張,三重國小,丹鳳,台北橋,景平,紅樹林,行天宮,國父紀念館,幸福,北門,忠義,大直,板新,文德,中正紀念堂,北投,蘆洲,麟光,台大醫院,唭哩岸,中原,BL板橋,松山機場,迴龍,南京復興,景安,象山,圓山,竹圍,古亭,秀朗橋,南勢角,大安,劍南路,科技大樓,徐匯中學,永春,善導寺,Y板橋,萬芳醫院,民權西路,輔大,忠孝敦化,南港展覽館,江子翠,新埔,先嗇宮,新店區公所,雙連,新埔民生,西湖,西門,萬芳社區,南港,石牌,葫洲,公館,海山,亞東醫院,中和,淡水,土城,奇岩,中山國中,復興崗,木柵,三和國中,三重,松山,士林
0,7,9,23,4,2,11,5,9,10,14,6,11,4,0,0,1,3,16,5,5,9,7,10,16,0,3,0,2,12,1,0,1,0,6,2,3,6,6,6,12,8,5,1,2,5,0,0,2,7,10,9,6,9,0,6,4,10,0,0,2,7,0,1,4,7,8,2,0,8,0,6,2,4,2,7,8,11,11,20,0,19,2,0,0,6,9,2,0,8,13,0,8,6,11,10,0,7,7,0,2,11,1,4,20,0,28,10,6,1,31,3,7,4,1,1,8,2,1,23
1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,5,1,0,0,0,0,0,0,0,0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,5,6,8,5,5,23,16,15,8,6,4,3,0,0,3,1,1,1,9,64,8,36,16,1,0,1,8,22,3,0,4,1,9,15,0,0,11,11,14,4,6,6,7,15,0,0,6,27,9,3,3,1,0,4,12,14,1,1,4,4,0,0,34,12,1,2,41,5,0,9,7,0,14,4,11,26,2,10,0,2,17,1,5,2,10,13,0,8,10,0,17,18,4,5,0,7,49,0,5,14,0,13,42,1,17,3,6,1,12,1,3,8,3,1,1,1,0,21
7,7,10,31,36,14,33,81,117,109,15,20,26,8,1,0,13,6,20,2,119,270,25,106,87,1,12,10,26,81,4,1,43,1,24,42,1,2,57,48,108,8,72,8,29,41,0,1,31,121,11,8,4,2,0,18,83,73,0,2,23,16,0,2,246,39,12,3,153,6,0,18,22,1,99,10,55,56,16,99,0,10,124,12,46,7,23,95,0,31,98,8,143,42,20,18,13,17,117,0,32,71,3,29,157,4,113,3,15,0,24,4,16,33,4,7,5,5,12,63
8,15,22,35,50,16,119,317,238,197,23,32,84,12,4,1,28,12,32,2,419,604,57,533,150,4,15,31,44,135,5,1,84,0,61,94,2,5,73,201,148,17,203,12,103,83,0,0,102,395,30,6,4,11,5,30,202,210,1,12,46,21,0,5,448,44,12,10,271,11,2,28,40,6,364,15,196,143,15,269,0,26,322,53,119,15,72,249,0,50,278,4,338,69,24,18,15,46,289,0,172,252,7,20,191,8,174,5,21,0,40,5,64,86,12,6,20,1,11,119
9,6,16,34,52,12,67,180,170,78,22,23,42,4,5,2,22,4,32,1,112,381,24,424,75,5,29,3,32,83,8,1,31,0,46,44,5,7,46,124,71,11,105,14,62,69,0,1,55,172,27,5,1,15,2,31,107,141,1,6,24,14,0,2,155,23,4,14,203,8,1,24,36,6,167,10,150,56,13,132,1,17,148,31,68,7,48,147,0,33,124,8,179,54,24,14,4,23,148,0,87,144,2,14,155,6,177,7,18,2,62,10,30,46,4,2,14,6,8,84
