time,府中,萬隆,頂溪,明德,新店,關渡,忠孝新生,忠孝復興,東門,後山埤,龍山寺,中山國小,頂埔,辛亥,大湖公園,大橋頭站,菜寮,永安市場,新莊,松江南京,市政府,景美,台北101/世貿,芝山,頭前庄,動物園,南港軟體園區,台北車站,劍潭,新北投,橋和,小南門,十四張,六張犁,大安森林公園,東湖,內湖,昆陽,中山,台電大樓,三民高中,台北小巨蛋,永寧,港墘,大坪林,新北產業園區,小碧潭,南京三民,信義安和,七張,三重國小,丹鳳,台北橋,景平,紅樹林,行天宮,國父紀念館,幸福,北門,忠義,大直,板新,文德,中正紀念堂,北投,蘆洲,麟光,台大醫院,唭哩岸,中原,BL板橋,松山機場,迴龍,南京復興,景安,象山,圓山,竹圍,古亭,秀朗橋,南勢角,大安,劍南路,科技大樓,徐匯中學,永春,善導寺,Y板橋,萬芳醫院,民權西路,輔大,忠孝敦化,南港展覽館,江子翠,新埔,先嗇宮,新店區公所,雙連,新埔民生,西湖,西門,萬芳社區,南港,石牌,葫洲,公館,海山,亞東醫院,中和,淡水,土城,奇岩,中山國中,復興崗,木柵,三和國中,三重,松山,士林
0,10,10,31,12,9,5,11,5,9,16,7,6,8,1,2,2,8,30,3,3,11,17,12,17,1,8,0,3,16,3,0,0,0,11,7,6,4,8,5,17,7,8,4,7,15,2,0,6,13,12,7,6,14,3,17,3,9,0,0,1,7,0,1,4,22,14,2,2,13,0,16,3,6,7,11,11,13,17,19,1,23,9,7,3,11,16,4,0,5,15,4,18,14,20,35,1,18,13,0,5,28,2,5,25,3,14,17,12,0,44,5,6,9,4,5,10,4,2,18
1,0,0,4,0,0,2,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,6,8,8,2,10,17,14,16,5,6,4,1,0,0,1,2,5,2,9,72,5,25,14,0,2,2,7,25,2,0,3,3,4,12,0,0,10,15,10,2,8,4,5,7,0,2,4,25,6,3,2,1,0,3,11,11,0,1,1,1,0,1,36,14,0,0,43,1,0,3,5,0,9,3,10,17,5,11,0,3,17,1,2,1,7,31,0,2,13,1,15,17,3,2,0,5,41,0,3,18,0,16,41,0,15,1,8,1,15,0,5,3,3,3,0,3,1,19
7,2,6,30,41,8,37,76,104,103,28,21,20,10,2,1,14,7,7,4,113,191,23,91,72,1,3,9,25,91,6,0,37,1,19,46,3,6,52,40,78,7,59,7,18,16,0,0,34,108,11,4,3,2,0,13,59,73,1,12,18,12,0,3,226,36,9,5,131,5,0,18,37,1,99,8,35,64,12,93,0,9,81,11,38,5,18,114,0,12,75,2,122,45,16,17,8,11,110,0,21,60,4,24,133,1,93,2,15,0,24,3,12,35,3,5,6,2,7,79
8,10,20,37,31,13,96,235,215,161,15,32,56,8,5,0,35,3,30,2,273,478,50,457,123,2,25,30,48,146,12,0,55,2,47,78,5,3,62,140,130,10,130,8,82,72,0,1,86,322,35,8,2,17,4,27,171,169,0,13,46,19,0,3,355,31,7,3,273,7,1,19,36,1,292,16,141,103,13,194,1,22,279,34,95,12,76,236,0,15,234,4,267,66,27,18,18,27,259,0,122,174,2,14,181,8,203,14,13,2,22,4,52,64,11,5,21,3,10,111
9,11,52,28,37,13,48,159,170,62,19,28,32,2,4,1,8,4,26,0,98,301,28,445,51,1,62,3,36,93,14,0,33,0,44,57,3,8,29,99,52,11,80,6,56,47,0,2,31,132,13,5,1,9,2,36,120,147,0,5,25,16,0,1,149,30,4,7,188,10,1,29,41,2,113,8,119,63,25,108,0,18,131,30,43,17,43,161,0,10,128,7,157,35,17,24,5,14,132,0,61,134,0,17,113,6,102,4,15,3,80,5,26,49,3,6,8,1,9,98
