time,府中,萬隆,頂溪,明德,新店,關渡,忠孝新生,忠孝復興,東門,後山埤,龍山寺,中山國小,頂埔,辛亥,大湖公園,大橋頭站,菜寮,永安市場,新莊,松江南京,市政府,景美,台北101/世貿,芝山,頭前庄,動物園,南港軟體園區,台北車站,劍潭,新北投,橋和,小南門,十四張,六張犁,大安森林公園,東湖,內湖,昆陽,中山,台電大樓,三民高中,台北小巨蛋,永寧,港墘,大坪林,新北產業園區,小碧潭,南京三民,信義安和,七張,三重國小,丹鳳,台北橋,景平,紅樹林,行天宮,國父紀念館,幸福,北門,忠義,大直,板新,文德,中正紀念堂,北投,蘆洲,麟光,台大醫院,唭哩岸,中原,BL板橋,松山機場,迴龍,南京復興,景安,象山,圓山,竹圍,古亭,秀朗橋,南勢角,大安,劍南路,科技大樓,徐匯中學,永春,善導寺,Y板橋,萬芳醫院,民權西路,輔大,忠孝敦化,南港展覽館,江子翠,新埔,先嗇宮,新店區公所,雙連,新埔民生,西湖,西門,萬芳社區,南港,石牌,葫洲,公館,海山,亞東醫院,中和,淡水,土城,奇岩,中山國中,復興崗,木柵,三和國中,三重,松山,士林
0,7,12,38,17,10,4,6,21,23,10,13,3,9,0,1,2,7,28,5,9,21,17,27,21,1,1,0,6,22,1,0,1,0,5,11,4,7,10,11,6,17,5,3,9,15,0,2,8,26,14,5,5,14,1,26,10,9,1,0,1,2,0,4,14,34,14,2,3,1,1,21,0,8,9,17,7,36,4,17,0,28,13,0,4,8,12,1,0,7,12,10,10,30,17,18,0,13,15,0,5,32,2,3,22,3,24,17,13,1,45,4,7,7,6,7,16,4,1,14
1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4,7,5,15,5,5,20,19,23,6,7,3,6,0,0,2,1,4,2,11,65,14,30,9,0,2,2,5,27,3,0,2,1,8,15,1,0,9,15,8,3,4,4,3,7,0,1,2,30,6,4,0,2,0,6,14,16,0,0,4,1,0,0,26,8,2,0,47,4,0,9,6,0,12,3,5,17,3,9,0,1,13,1,6,1,5,16,0,4,14,0,19,19,3,3,1,7,43,0,4,15,2,16,51,2,15,2,5,0,12,1,8,5,4,3,0,1,1,21
7,11,4,24,40,13,24,80,98,90,23,24,22,11,3,1,24,6,13,2,122,207,65,91,78,1,9,12,32,77,9,0,40,0,28,44,2,4,65,34,83,6,64,12,27,38,1,1,31,104,12,3,6,6,0,13,56,79,0,1,16,24,0,3,225,30,10,5,114,5,0,12,18,1,89,5,39,70,11,85,0,12,106,11,42,5,13,81,0,30,78,1,114,49,38,14,12,9,124,0,20,69,4,36,178,1,100,11,21,0,19,8,12,27,3,5,2,5,6,78
8,8,18,54,36,24,94,235,246,165,23,48,56,11,8,3,27,9,28,3,313,500,52,491,125,3,27,23,37,154,13,0,57,0,61,91,3,3,75,168,145,7,158,11,77,76,1,1,93,325,30,7,1,8,3,23,198,200,0,13,49,12,1,5,394,52,3,8,232,5,2,26,32,2,321,9,147,137,10,199,0,14,280,50,104,13,65,241,0,22,225,2,292,73,43,16,16,34,279,0,127,242,2,16,192,7,167,5,15,0,27,5,42,74,6,8,14,2,8,126
9,11,23,39,40,30,49,166,201,78,17,34,37,7,2,4,14,10,26,2,109,331,22,424,60,4,59,7,37,134,8,0,38,0,52,50,3,7,45,140,51,13,83,15,69,51,0,2,40,160,16,5,4,10,2,31,109,124,0,12,24,13,1,7,189,34,6,4,252,11,1,30,44,4,124,13,132,65,5,124,2,13,152,27,59,21,56,152,0,10,125,3,194,35,25,20,7,18,127,0,76,149,1,14,131,4,111,8,17,0,51,4,35,37,3,4,13,5,16,122
10,21,11,39,32,15,16,152,186,58,13,42,24,2,0,0,12,7,30,3,59,335,26,269,56,4,96,4,45,94,16,1,15,1,11,31,5,7,23,171,41,12,40,15,32,28,0,4,28,81,18,5,2,16,1,23,49,96,0,22,14,14,0,5,99,29,2,10,145,5,0,20,29,2,83,14,50,76,9,91,0,17,73,16,31,13,35,96,0,9,72,11,138,20,17,37,3,17,130,0,19,214,1,14,130,8,82,16,19,0,68,5,9,12,12,4,10,2,9,129
11,33,14,56,23,17,9,150,179,56,22,51,21,5,3,3,15,7,24,6,52,329,15,239,59,1,60,2,76,68,17,0,18,1,23,40,3,4,28,223,29,13,39,15,29,15,0,3,26,52,14,11,4,10,5,16,60,82,1,10,11,10,2,3,102,27,10,8,58,2,0,44,30,7,67,22,48,74,9,53,0,15,68,14,22,17,47,103,0,17,45,4,157,22,33,33,2,13,89,0,9,271,2,19,82,3,86,7,21,0,144,4,16,25,7,6,4,6,13,88
