time,府中,萬隆,頂溪,明德,新店,關渡,忠孝新生,忠孝復興,東門,後山埤,龍山寺,中山國小,頂埔,辛亥,大湖公園,大橋頭站,菜寮,永安市場,新莊,松江南京,市政府,景美,台北101/世貿,芝山,頭前庄,動物園,南港軟體園區,台北車站,劍潭,新北投,橋和,小南門,十四張,六張犁,大安森林公園,東湖,內湖,昆陽,中山,台電大樓,三民高中,台北小巨蛋,永寧,港墘,大坪林,新北產業園區,小碧潭,南京三民,信義安和,七張,三重國小,丹鳳,台北橋,景平,紅樹林,行天宮,國父紀念館,幸福,北門,忠義,大直,板新,文德,中正紀念堂,北投,蘆洲,麟光,台大醫院,唭哩岸,中原,BL板橋,松山機場,迴龍,南京復興,景安,象山,圓山,竹圍,古亭,秀朗橋,南勢角,大安,劍南路,科技大樓,徐匯中學,永春,善導寺,Y板橋,萬芳醫院,民權西路,輔大,忠孝敦化,南港展覽館,江子翠,新埔,先嗇宮,新店區公所,雙連,新埔民生,西湖,西門,萬芳社區,南港,石牌,葫洲,公館,海山,亞東醫院,中和,淡水,土城,奇岩,中山國中,復興崗,木柵,三和國中,三重,松山,士林
0,6,17,19,6,4,3,2,6,11,2,9,6,4,2,2,4,4,28,0,3,12,17,13,22,1,1,0,2,20,0,0,1,0,4,2,0,5,4,8,9,3,3,2,2,11,0,1,5,9,14,8,2,2,0,5,4,5,0,0,1,3,0,2,5,10,8,2,0,5,0,12,0,3,9,9,7,7,2,9,1,14,12,0,0,7,9,2,0,2,9,0,6,13,11,7,1,7,11,0,2,27,0,2,20,1,13,7,6,0,23,3,3,4,2,2,9,1,1,14
1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,6,7,13,3,5,20,14,21,6,12,5,3,3,0,1,1,1,2,12,63,7,30,14,0,0,2,6,30,5,0,2,1,8,16,0,1,11,13,11,2,4,6,3,7,0,0,4,27,7,1,1,1,0,7,15,11,0,0,3,3,0,1,37,12,3,0,47,5,0,7,4,1,9,3,7,24,5,15,1,3,20,0,7,1,9,15,0,3,11,1,21,10,5,5,0,6,44,0,5,15,2,17,52,0,19,1,5,1,8,1,3,5,3,4,1,1,0,21
7,3,10,26,56,11,31,78,122,124,21,18,22,18,1,0,21,12,14,2,130,248,24,107,81,1,8,11,14,81,4,0,36,3,22,55,2,4,66,47,94,7,69,6,17,35,0,0,25,116,11,3,3,3,1,16,59,85,0,5,31,11,0,3,254,36,12,9,163,5,0,13,15,3,102,10,40,49,9,97,0,11,105,11,51,7,27,94,0,16,86,3,124,47,14,13,12,10,135,0,23,63,5,29,143,3,108,6,12,0,22,4,16,28,5,7,5,5,4,73
8,10,16,39,38,18,126,282,250,189,25,31,60,13,3,0,29,10,38,1,347,559,59,472,143,3,17,32,47,155,8,0,52,1,63,85,6,2,78,162,134,9,159,18,91,86,0,0,94,339,36,5,4,7,9,33,196,195,2,8,47,19,0,3,434,41,3,4,255,14,0,30,22,0,334,9,170,124,16,239,0,16,320,50,116,10,69,253,0,18,243,3,315,78,36,24,14,29,265,0,143,226,7,24,207,7,179,8,18,0,28,4,50,73,12,7,15,2,10,166
9,13,16,32,41,22,55,166,185,81,19,31,42,6,2,2,18,6,20,4,131,343,42,322,82,7,67,7,37,111,8,1,72,0,41,70,2,9,49,151,62,10,77,8,59,51,0,3,51,181,20,3,4,13,0,24,103,182,1,7,28,13,0,0,160,21,9,0,261,7,0,14,20,2,144,13,145,81,12,116,2,24,160,22,54,9,55,138,0,19,133,9,163,36,29,25,9,21,151,0,79,145,1,17,170,3,150,5,17,0,66,6,27,64,4,1,10,8,8,128
10,15,11,43,25,20,18,151,163,58,19,30,26,1,3,1,12,2,30,3,59,246,40,162,55,0,66,2,44,92,21,0,19,1,11,30,3,7,21,132,47,13,60,9,42,22,1,3,20,75,13,19,0,18,1,23,44,87,0,8,12,4,0,4,85,26,12,11,180,7,0,35,41,3,79,18,48,74,13,68,1,9,64,16,39,9,32,91,0,17,49,4,132,18,18,26,7,23,118,0,17,149,0,11,110,0,62,11,15,2,62,7,12,14,8,4,9,8,7,120
11,25,21,35,24,27,16,117,188,51,23,40,17,4,1,3,19,4,27,9,48,218,38,152,40,3,44,0,42,72,9,0,16,0,18,17,5,3,26,151,46,12,24,11,26,32,0,3,20,57,14,6,2,10,4,18,48,78,0,4,15,8,0,0,79,28,10,2,73,3,0,36,12,4,67,11,39,63,20,44,1,15,55,19,22,18,23,85,0,15,45,6,110,17,22,27,3,16,98,0,6,209,0,21,72,10,77,11,15,2,96,4,6,24,5,4,5,2,14,86
12,40,15,62,32,18,20,154,192,82,23,56,28,5,2,2,23,8,41,7,73,291,23,116,67,2,28,2,67,100,15,1,10,1,10,37,6,10,23,197,54,16,38,4,28,27,0,6,32,74,27,12,6,8,1,8,50,90,1,5,10,9,0,4,112,24,9,3,108,7,0,60,24,6,57,23,32,50,12,71,0,21,70,14,27,14,34,125,2,10,67,5,135,20,34,47,3,17,103,0,14,269,6,18,116,5,109,15,17,1,97,8,8,15,2,2,6,3,8,85
13,38,16,68,32,22,20,145,204,72,20,82,37,13,0,1,14,10,34,15,69,237,42,114,67,1,34,4,67,82,16,3,24,0,17,34,13,4,40,130,55,22,42,19,21,29,0,5,35,77,34,17,3,15,1,26,75,102,3,5,15,14,1,2,135,47,17,7,193,7,3,77,21,4,63,32,46,73,16,83,0,25,72,30,30,24,39,114,0,17,59,8,157,25,46,44,4,23,87,0,20,323,3,20,111,4,94,18,36,1,87,7,18,13,2,4,11,6,17,82
14,55,15,53,40,14,20,138,142,81,34,62,29,13,4,0,16,7,55,10,60,192,34,115,53,6,13,6,62,61,15,3,30,0,20,38,12,9,19,144,39,32,48,16,14,28,0,5,28,68,26,7,8,17,2,28,56,63,1,9,5,17,0,8,76,46,16,8,104,18,0,49,12,7,49,30,38,69,24,76,1,27,69,11,20,16,53,74,0,12,80,13,116,16,47,61,5,37,111,0,12,247,1,28,107,8,77,42,34,2,140,11,20,21,3,1,9,3,21,85
